item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (09/25),"49,833",111,04,1일전 (09/24),"50,233",1주일전 (09/18),-,2주일전 (09/11),"49,456",1개월전,"39,387",1년전,"55,637",일평년,"53,213"
찹쌀,일반계(1kg),상품,1kg,당일 (09/25),"4,097",112,04,1일전 (09/24),"4,097",1주일전 (09/18),-,2주일전 (09/11),"3,930",1개월전,"3,954",1년전,"3,770",일평년,"4,401"
콩,흰 콩(국산)(500g),상품,500g,당일 (09/25),"5,046",141,04,1일전 (09/24),"5,046",1주일전 (09/18),-,2주일전 (09/11),"5,053",1개월전,"5,157",1년전,"4,936",일평년,"5,003"
팥,붉은 팥(국산)(500g),상품,500g,당일 (09/25),"10,506",142,04,1일전 (09/24),"10,506",1주일전 (09/18),-,2주일전 (09/11),"10,506",1개월전,"10,410",1년전,"8,047",일평년,"7,640"
녹두,국산(500g),상품,500g,당일 (09/25),"12,009",143,04,1일전 (09/24),"12,009",1주일전 (09/18),-,2주일전 (09/11),"11,580",1개월전,"11,716",1년전,"11,110",일평년,"10,213"
고구마,밤(1kg),상품,1kg,당일 (09/25),"5,348",151,04,1일전 (09/24),"5,040",1주일전 (09/18),-,2주일전 (09/11),"5,126",1개월전,"5,579",1년전,"5,568",일평년,"5,725"
감자,수미(노지)(100g),상품,100g,당일 (09/25),298,152,04,1일전 (09/24),286,1주일전 (09/18),-,2주일전 (09/11),293,1개월전,317,1년전,341,일평년,318
메밀,메밀(수입)(1kg),중품,1kg,당일 (09/25),"2,950",144,05,1일전 (09/24),"2,950",1주일전 (09/18),-,2주일전 (09/11),"3,000",1개월전,"3,460",1년전,"3,867",일평년,"3,770"
배추,여름(고랭지)(1포기),상품,1포기,당일 (09/25),"9,275",211,04,1일전 (09/24),"10,050",1주일전 (09/18),-,2주일전 (09/11),"7,454",1개월전,"7,133",1년전,"6,193",일평년,"7,217"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (09/25),"9,275",211,04,1일전 (09/24),"10,050",1주일전 (09/18),-,2주일전 (09/11),"7,454",1개월전,"7,133",1년전,"6,193",일평년,"7,217"
양배추,양배추(1포기),상품,1포기,당일 (09/25),"4,214",212,04,1일전 (09/24),"4,630",1주일전 (09/18),-,2주일전 (09/11),"3,730",1개월전,"4,345",1년전,"5,365",일평년,"4,253"
시금치,시금치(100g),상품,100g,당일 (09/25),"3,070",213,04,1일전 (09/24),"3,231",1주일전 (09/18),-,2주일전 (09/11),"4,101",1개월전,"3,767",1년전,"1,803",일평년,"1,532"
상추,적(100g),상품,100g,당일 (09/25),"2,537",214,04,1일전 (09/24),"2,443",1주일전 (09/18),-,2주일전 (09/11),"2,250",1개월전,"2,031",1년전,"1,607",일평년,"1,527"
적상추,적(100g),상품,100g,당일 (09/25),"2,537",214,04,1일전 (09/24),"2,443",1주일전 (09/18),-,2주일전 (09/11),"2,250",1개월전,"2,031",1년전,"1,607",일평년,"1,527"
청상추,청(100g),상품,100g,당일 (09/25),"2,554",214,04,1일전 (09/24),"2,464",1주일전 (09/18),-,2주일전 (09/11),"2,431",1개월전,"2,441",1년전,"1,728",일평년,"1,592"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (09/25),"5,179",215,04,1일전 (09/24),"5,232",1주일전 (09/18),-,2주일전 (09/11),"4,340",1개월전,"4,975",1년전,"3,727",일평년,"3,529"
수박,수박(1개),상품,1개,당일 (09/25),-,221,04,1일전 (09/24),"29,900",1주일전 (09/18),-,2주일전 (09/11),"28,500",1개월전,"31,024",1년전,"26,123",일평년,"21,876"
참외,참외(10개),상품,10개,당일 (09/25),-,222,04,1일전 (09/24),-,1주일전 (09/18),-,2주일전 (09/11),"25,443",1개월전,"22,520",1년전,"31,690",일평년,"27,333"
오이,가시계통(10개),상품,10개,당일 (09/25),"16,600",223,04,1일전 (09/24),"15,500",1주일전 (09/18),-,2주일전 (09/11),"15,500",1개월전,"13,999",1년전,"12,890",일평년,"11,467"
