item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (02/29),"54,967",111,04,1일전 (02/28),"54,967",1주일전 (02/22),"54,967",2주일전 (02/15),"55,633",1개월전,"43,051",1년전,"50,320",일평년,"52,489"
찹쌀,일반계(1kg),상품,1kg,당일 (02/29),"3,918",112,04,1일전 (02/28),"3,873",1주일전 (02/22),"3,646",2주일전 (02/15),"3,891",1개월전,"3,798",1년전,"3,660",일평년,"4,664"
콩,흰 콩(국산)(500g),상품,500g,당일 (02/29),"5,228",141,04,1일전 (02/28),"5,228",1주일전 (02/22),"5,228",2주일전 (02/15),"5,377",1개월전,"5,058",1년전,"5,507",일평년,"5,226"
팥,붉은 팥(국산)(500g),상품,500g,당일 (02/29),"8,321",142,04,1일전 (02/28),"8,321",1주일전 (02/22),"8,530",2주일전 (02/15),"8,788",1개월전,"8,516",1년전,"6,743",일평년,"8,167"
녹두,국산(500g),상품,500g,당일 (02/29),"12,823",143,04,1일전 (02/28),"12,823",1주일전 (02/22),"12,823",2주일전 (02/15),"13,020",1개월전,"11,793",1년전,"10,430",일평년,"9,247"
고구마,밤(1kg),상품,1kg,당일 (02/29),"5,390",151,04,1일전 (02/28),"5,271",1주일전 (02/22),"5,208",2주일전 (02/15),"5,144",1개월전,"5,122",1년전,"5,237",일평년,"5,361"
감자,수미(노지)(100g),상품,100g,당일 (02/29),419,152,04,1일전 (02/28),419,1주일전 (02/22),409,2주일전 (02/15),419,1개월전,369,1년전,528,일평년,466
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/29),"3,600",144,05,1일전 (02/28),"3,600",1주일전 (02/22),"3,600",2주일전 (02/15),"3,600",1개월전,"3,767",1년전,"4,625",일평년,"3,472"
양배추,양배추(1포기),상품,1포기,당일 (02/29),"3,760",212,04,1일전 (02/28),"3,489",1주일전 (02/22),"3,489",2주일전 (02/15),"3,877",1개월전,"3,505",1년전,"3,816",일평년,"3,810"
시금치,시금치(100g),상품,100g,당일 (02/29),960,213,04,1일전 (02/28),985,1주일전 (02/22),"1,135",2주일전 (02/15),"1,219",1개월전,968,1년전,829,일평년,688
상추,적(100g),상품,100g,당일 (02/29),"1,096",214,04,1일전 (02/28),"1,079",1주일전 (02/22),"1,064",2주일전 (02/15),"1,201",1개월전,"1,234",1년전,"1,194",일평년,891
적상추,적(100g),상품,100g,당일 (02/29),"1,096",214,04,1일전 (02/28),"1,079",1주일전 (02/22),"1,064",2주일전 (02/15),"1,201",1개월전,"1,234",1년전,"1,194",일평년,891
청상추,청(100g),상품,100g,당일 (02/29),"1,158",214,04,1일전 (02/28),"1,142",1주일전 (02/22),"1,108",2주일전 (02/15),"1,284",1개월전,"1,327",1년전,"1,205",일평년,938
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/29),"3,883",215,04,1일전 (02/28),"3,930",1주일전 (02/22),"4,078",2주일전 (02/15),"4,526",1개월전,"3,902",1년전,"4,092",일평년,"2,894"
수박,수박(1개),상품,1개,당일 (02/29),"32,533",221,04,1일전 (02/28),"32,648",1주일전 (02/22),"32,945",2주일전 (02/15),"36,990",1개월전,"28,165",1년전,-,일평년,"24,331"
오이,가시계통(10개),상품,10개,당일 (02/29),"29,110",223,04,1일전 (02/28),"29,110",1주일전 (02/22),"26,280",2주일전 (02/15),"28,300",1개월전,"20,634",1년전,"21,085",일평년,"13,772"
가시오이,가시계통(10개),상품,10개,당일 (02/29),"29,110",223,04,1일전 (02/28),"29,110",1주일전 (02/22),"26,280",2주일전 (02/15),"28,300",1개월전,"20,634",1년전,"21,085",일평년,"13,772"
다다기오이,다다기계통(10개),상품,10개,당일 (02/29),"15,037",223,04,1일전 (02/28),"14,481",1주일전 (02/22),"13,984",2주일전 (02/15),"14,512",1개월전,"15,606",1년전,"14,520",일평년,"10,367"
취청오이,취청(10개),상품,10개,당일 (02/29),"22,797",223,04,1일전 (02/28),"22,320",1주일전 (02/22),"18,346",2주일전 (02/15),"21,313",1개월전,"19,126",1년전,"17,648",일평년,"12,140"
애호박,애호박(1개),상품,1개,당일 (02/29),"2,572",224,04,1일전 (02/28),"2,576",1주일전 (02/22),"2,909",2주일전 (02/15),"3,216",1개월전,"2,697",1년전,"2,763",일평년,"2,085"
쥬키니,쥬키니(1개),상품,1개,당일 (02/29),"3,115",224,04,1일전 (02/28),"3,070",1주일전 (02/22),"2,240",2주일전 (02/15),"2,740",1개월전,"2,249",1년전,"3,749",일평년,"1,798"
토마토,토마토(1kg),상품,1kg,당일 (02/29),"8,597",225,04,1일전 (02/28),"8,239",1주일전 (02/22),"8,172",2주일전 (02/15),"8,223",1개월전,"8,154",1년전,"6,766",일평년,"5,944"
무,월동(1개),상품,1개,당일 (02/29),"1,787",231,04,1일전 (02/28),"1,812",1주일전 (02/22),"1,704",2주일전 (02/15),"1,757",1개월전,"1,540",1년전,"2,025",일평년,"1,749"
당근,무세척(1kg),상품,1kg,당일 (02/29),"3,948",232,04,1일전 (02/28),"3,948",1주일전 (02/22),"3,807",2주일전 (02/15),"3,978",1개월전,"3,310",1년전,"4,812",일평년,"3,531"
열무,열무(1kg),상품,1kg,당일 (02/29),"2,814",233,04,1일전 (02/28),"2,950",1주일전 (02/22),"3,058",2주일전 (02/15),"4,175",1개월전,"8,183",1년전,"4,073",일평년,"3,268"
건고추,화건(600g),상품,600g,당일 (02/29),"19,800",241,04,1일전 (02/28),"19,800",1주일전 (02/22),"19,800",2주일전 (02/15),"19,800",1개월전,"18,544",1년전,"16,459",일평년,"15,739"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (02/29),"2,290",242,04,1일전 (02/28),"2,260",1주일전 (02/22),"2,201",2주일전 (02/15),"2,258",1개월전,"1,903",1년전,"2,533",일평년,"1,801"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (02/29),"2,290",242,04,1일전 (02/28),"2,260",1주일전 (02/22),"2,201",2주일전 (02/15),"2,258",1개월전,"1,903",1년전,"2,533",일평년,"1,801"
꽈리고추,꽈리고추(100g),상품,100g,당일 (02/29),"2,136",242,04,1일전 (02/28),"2,102",1주일전 (02/22),"2,224",2주일전 (02/15),"2,228",1개월전,"1,812",1년전,"1,801",일평년,"1,412"
청양고추,청양고추(100g),상품,100g,당일 (02/29),"2,334",242,04,1일전 (02/28),"2,407",1주일전 (02/22),"2,698",2주일전 (02/15),"2,589",1개월전,"2,022",1년전,"2,652",일평년,"1,651"
오이고추,오이맛고추(100g),상품,100g,당일 (02/29),"2,116",242,04,1일전 (02/28),"2,164",1주일전 (02/22),"2,172",2주일전 (02/15),"1,992",1개월전,"1,744",1년전,"1,887",일평년,"1,887"
붉은고추,붉은고추(100g),상품,100g,당일 (02/29),"2,566",243,04,1일전 (02/28),"2,260",1주일전 (02/22),"1,988",2주일전 (02/15),"1,840",1개월전,"1,707",1년전,"1,875",일평년,"1,651"
양파,양파(1kg),상품,1kg,당일 (02/29),"2,372",245,04,1일전 (02/28),"2,384",1주일전 (02/22),"2,384",2주일전 (02/15),"2,142",1개월전,"2,430",1년전,"2,550",일평년,"2,155"
대파,대파(1kg),상품,1kg,당일 (02/29),"4,024",246,04,1일전 (02/28),"4,176",1주일전 (02/22),"4,494",2주일전 (02/15),"4,917",1개월전,"3,784",1년전,"3,444",일평년,"2,842"
쪽파,쪽파(1kg),상품,1kg,당일 (02/29),"9,390",246,04,1일전 (02/28),"9,482",1주일전 (02/22),"10,575",2주일전 (02/15),"13,877",1개월전,"11,140",1년전,"7,095",일평년,"6,982"
생강,국산(1kg),상품,1kg,당일 (02/29),"16,476",247,04,1일전 (02/28),"16,476",1주일전 (02/22),"16,476",2주일전 (02/15),"16,476",1개월전,"15,634",1년전,"13,892",일평년,"12,318"
고춧가루,국산(1kg),상품,1kg,당일 (02/29),"37,397",248,04,1일전 (02/28),"38,737",1주일전 (02/22),"38,737",2주일전 (02/15),"37,066",1개월전,"34,827",1년전,"31,956",일평년,"31,559"
미나리,미나리(100g),상품,100g,당일 (02/29),"1,813",252,04,1일전 (02/28),"2,052",1주일전 (02/22),"2,067",2주일전 (02/15),"2,432",1개월전,"1,871",1년전,"1,619",일평년,823
깻잎,깻잎(100g),상품,100g,당일 (02/29),"3,059",253,04,1일전 (02/28),"2,997",1주일전 (02/22),"3,117",2주일전 (02/15),"3,970",1개월전,"3,117",1년전,"2,575",일평년,"2,234"
피망,청(100g),상품,100g,당일 (02/29),"2,118",255,04,1일전 (02/28),"2,105",1주일전 (02/22),"2,160",2주일전 (02/15),"2,402",1개월전,"2,128",1년전,"1,788",일평년,"1,734"
파프리카,파프리카(200g),상품,200g,당일 (02/29),"2,610",256,04,1일전 (02/28),"2,610",1주일전 (02/22),"2,504",2주일전 (02/15),"2,632",1개월전,"2,389",1년전,"2,232",일평년,"1,974"
