item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (05/30),"53,978",111,04,1일전 (05/29),"53,978",1주일전 (05/23),"53,863",2주일전 (05/16),"54,363",1개월전,"40,251",1년전,"51,505",일평년,"52,011"
찹쌀,일반계(1kg),상품,1kg,당일 (05/30),"3,957",112,04,1일전 (05/29),"3,957",1주일전 (05/23),"3,957",2주일전 (05/16),"3,991",1개월전,"3,747",1년전,"3,628",일평년,"4,485"
콩,흰 콩(국산)(500g),상품,500g,당일 (05/30),"5,324",141,04,1일전 (05/29),"5,324",1주일전 (05/23),"5,324",2주일전 (05/16),"5,366",1개월전,"5,366",1년전,"5,293",일평년,"5,229"
팥,붉은 팥(국산)(500g),상품,500g,당일 (05/30),"9,876",142,04,1일전 (05/29),"9,876",1주일전 (05/23),"8,477",2주일전 (05/16),"9,566",1개월전,"8,843",1년전,"7,325",일평년,"8,292"
녹두,국산(500g),상품,500g,당일 (05/30),"12,904",143,04,1일전 (05/29),"12,904",1주일전 (05/23),"12,704",2주일전 (05/16),"12,704",1개월전,"11,925",1년전,"9,836",일평년,"9,214"
고구마,밤(1kg),상품,1kg,당일 (05/30),"5,568",151,04,1일전 (05/29),"5,704",1주일전 (05/23),"6,184",2주일전 (05/16),"5,901",1개월전,"5,461",1년전,"5,556",일평년,"5,830"
감자,수미(노지)(100g),상품,100g,당일 (05/30),500,152,04,1일전 (05/29),550,1주일전 (05/23),550,2주일전 (05/16),305,1개월전,386,1년전,623,일평년,469
메밀,메밀(수입)(1kg),중품,1kg,당일 (05/30),"3,000",144,05,1일전 (05/29),"3,000",1주일전 (05/23),"3,000",2주일전 (05/16),"3,000",1개월전,"3,627",1년전,"4,550",일평년,"3,632"
양배추,양배추(1포기),상품,1포기,당일 (05/30),"6,530",212,04,1일전 (05/29),"5,665",1주일전 (05/23),"6,075",2주일전 (05/16),"5,565",1개월전,"5,983",1년전,"4,711",일평년,"4,110"
시금치,시금치(100g),상품,100g,당일 (05/30),766,213,04,1일전 (05/29),734,1주일전 (05/23),689,2주일전 (05/16),669,1개월전,674,1년전,755,일평년,651
상추,적(100g),상품,100g,당일 (05/30),863,214,04,1일전 (05/29),843,1주일전 (05/23),826,2주일전 (05/16),821,1개월전,895,1년전,992,일평년,832
적상추,적(100g),상품,100g,당일 (05/30),863,214,04,1일전 (05/29),843,1주일전 (05/23),826,2주일전 (05/16),821,1개월전,895,1년전,992,일평년,832
청상추,청(100g),상품,100g,당일 (05/30),943,214,04,1일전 (05/29),"1,016",1주일전 (05/23),937,2주일전 (05/16),922,1개월전,"1,032",1년전,"1,016",일평년,882
