item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (02/06),"55,078",111,04,1일전 (02/05),"55,078",1주일전 (01/30),"55,967",2주일전 (01/23),"56,744",1개월전,"43,485",1년전,"51,359",일평년,"52,550"
찹쌀,일반계(1kg),상품,1kg,당일 (02/06),"3,888",112,04,1일전 (02/05),"3,940",1주일전 (01/30),"3,940",2주일전 (01/23),"3,701",1개월전,"3,723",1년전,"3,602",일평년,"4,673"
콩,흰 콩(국산)(500g),상품,500g,당일 (02/06),"5,400",141,04,1일전 (02/05),"5,377",1주일전 (01/30),"5,377",2주일전 (01/23),"5,381",1개월전,"4,592",1년전,"5,660",일평년,"5,267"
팥,붉은 팥(국산)(500g),상품,500g,당일 (02/06),"8,810",142,04,1일전 (02/05),"8,810",1주일전 (01/30),"8,790",2주일전 (01/23),"8,514",1개월전,"7,865",1년전,"6,358",일평년,"7,685"
녹두,국산(500g),상품,500g,당일 (02/06),"11,843",143,04,1일전 (02/05),"11,843",1주일전 (01/30),"12,318",2주일전 (01/23),"12,585",1개월전,"11,417",1년전,"10,437",일평년,"9,218"
고구마,밤(1kg),상품,1kg,당일 (02/06),"5,231",151,04,1일전 (02/05),"5,231",1주일전 (01/30),"5,069",2주일전 (01/23),"5,442",1개월전,"5,425",1년전,"5,256",일평년,"5,259"
감자,수미(노지)(100g),상품,100g,당일 (02/06),406,152,04,1일전 (02/05),406,1주일전 (01/30),396,2주일전 (01/23),386,1개월전,369,1년전,463,일평년,414
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/06),"3,400",144,05,1일전 (02/05),"3,100",1주일전 (01/30),"3,100",2주일전 (01/23),"3,100",1개월전,"3,767",1년전,"4,778",일평년,"3,522"
양배추,양배추(1포기),상품,1포기,당일 (02/06),"3,348",212,04,1일전 (02/05),"3,180",1주일전 (01/30),"2,990",2주일전 (01/23),"2,993",1개월전,"4,053",1년전,"3,978",일평년,"3,957"
시금치,시금치(100g),상품,100g,당일 (02/06),"1,051",213,04,1일전 (02/05),"1,158",1주일전 (01/30),"1,130",2주일전 (01/23),755,1개월전,802,1년전,861,일평년,712
상추,적(100g),상품,100g,당일 (02/06),"1,241",214,04,1일전 (02/05),"1,228",1주일전 (01/30),"1,297",2주일전 (01/23),"1,193",1개월전,"1,200",1년전,"1,262",일평년,"1,151"
적상추,적(100g),상품,100g,당일 (02/06),"1,241",214,04,1일전 (02/05),"1,228",1주일전 (01/30),"1,297",2주일전 (01/23),"1,193",1개월전,"1,200",1년전,"1,262",일평년,"1,151"
청상추,청(100g),상품,100g,당일 (02/06),"1,318",214,04,1일전 (02/05),"1,324",1주일전 (01/30),"1,380",2주일전 (01/23),"1,290",1개월전,"1,319",1년전,"1,298",일평년,"1,201"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/06),"4,338",215,04,1일전 (02/05),"4,152",1주일전 (01/30),"4,188",2주일전 (01/23),"4,308",1개월전,"3,466",1년전,"3,605",일평년,"2,936"
수박,수박(1개),상품,1개,당일 (02/06),"40,895",221,04,1일전 (02/05),"40,895",1주일전 (01/30),-,2주일전 (01/23),"23,990",1개월전,"23,114",1년전,"25,350",일평년,"25,115"
