item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (06/13),"53,278",111,04,1일전 (06/12),"53,278",1주일전 (06/06),-,2주일전 (05/30),"53,978",1개월전,"40,823",1년전,"50,611",일평년,"51,826"
찹쌀,일반계(1kg),상품,1kg,당일 (06/13),"3,941",112,04,1일전 (06/12),"4,032",1주일전 (06/06),-,2주일전 (05/30),"3,957",1개월전,"3,729",1년전,"3,852",일평년,"4,389"
콩,흰 콩(국산)(500g),상품,500g,당일 (06/13),"5,021",141,04,1일전 (06/12),"5,310",1주일전 (06/06),-,2주일전 (05/30),"5,324",1개월전,"5,373",1년전,"5,294",일평년,"5,226"
팥,붉은 팥(국산)(500g),상품,500g,당일 (06/13),"10,233",142,04,1일전 (06/12),"9,922",1주일전 (06/06),-,2주일전 (05/30),"9,876",1개월전,"9,272",1년전,"7,414",일평년,"7,911"
녹두,국산(500g),상품,500g,당일 (06/13),"12,704",143,04,1일전 (06/12),"12,704",1주일전 (06/06),-,2주일전 (05/30),"12,904",1개월전,"11,903",1년전,"9,838",일평년,"9,322"
고구마,밤(1kg),상품,1kg,당일 (06/13),"5,677",151,04,1일전 (06/12),"5,743",1주일전 (06/06),-,2주일전 (05/30),"5,568",1개월전,"5,684",1년전,"5,433",일평년,"5,965"
감자,수미(노지)(100g),상품,100g,당일 (06/13),396,152,04,1일전 (06/12),399,1주일전 (06/06),-,2주일전 (05/30),500,1개월전,362,1년전,499,일평년,390
메밀,메밀(수입)(1kg),중품,1kg,당일 (06/13),"3,000",144,05,1일전 (06/12),"3,000",1주일전 (06/06),-,2주일전 (05/30),"3,000",1개월전,"3,599",1년전,"4,339",일평년,"3,863"
양배추,양배추(1포기),상품,1포기,당일 (06/13),"4,570",212,04,1일전 (06/12),"5,224",1주일전 (06/06),-,2주일전 (05/30),"6,530",1개월전,"6,018",1년전,"4,064",일평년,"3,409"
시금치,시금치(100g),상품,100g,당일 (06/13),705,213,04,1일전 (06/12),703,1주일전 (06/06),-,2주일전 (05/30),766,1개월전,674,1년전,837,일평년,709
상추,적(100g),상품,100g,당일 (06/13),919,214,04,1일전 (06/12),939,1주일전 (06/06),-,2주일전 (05/30),863,1개월전,771,1년전,"1,020",일평년,908
적상추,적(100g),상품,100g,당일 (06/13),919,214,04,1일전 (06/12),939,1주일전 (06/06),-,2주일전 (05/30),863,1개월전,771,1년전,"1,020",일평년,908
청상추,청(100g),상품,100g,당일 (06/13),"1,013",214,04,1일전 (06/12),987,1주일전 (06/06),-,2주일전 (05/30),943,1개월전,898,1년전,"1,091",일평년,951
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (06/13),"2,396",215,04,1일전 (06/12),"2,337",1주일전 (06/06),-,2주일전 (05/30),"2,328",1개월전,"2,769",1년전,"2,241",일평년,"2,041"
수박,수박(1개),상품,1개,당일 (06/13),"20,989",221,04,1일전 (06/12),"22,400",1주일전 (06/06),-,2주일전 (05/30),"23,514",1개월전,"22,991",1년전,"20,456",일평년,"18,188"
참외,참외(10개),상품,10개,당일 (06/13),"17,025",222,04,1일전 (06/12),"18,548",1주일전 (06/06),-,2주일전 (05/30),"20,200",1개월전,"21,909",1년전,"20,999",일평년,"18,293"
오이,가시계통(10개),상품,10개,당일 (06/13),"9,445",223,04,1일전 (06/12),"9,445",1주일전 (06/06),-,2주일전 (05/30),"10,765",1개월전,"9,374",1년전,"11,233",일평년,"7,537"
가시오이,가시계통(10개),상품,10개,당일 (06/13),"9,445",223,04,1일전 (06/12),"9,445",1주일전 (06/06),-,2주일전 (05/30),"10,765",1개월전,"9,374",1년전,"11,233",일평년,"7,537"
다다기오이,다다기계통(10개),상품,10개,당일 (06/13),"5,662",223,04,1일전 (06/12),"6,218",1주일전 (06/06),-,2주일전 (05/30),"6,872",1개월전,"7,364",1년전,"7,843",일평년,"6,072"
취청오이,취청(10개),상품,10개,당일 (06/13),"8,994",223,04,1일전 (06/12),"9,544",1주일전 (06/06),-,2주일전 (05/30),"8,985",1개월전,"11,934",1년전,"11,774",일평년,"8,203"
애호박,애호박(1개),상품,1개,당일 (06/13),"1,056",224,04,1일전 (06/12),"1,053",1주일전 (06/06),-,2주일전 (05/30),"1,166",1개월전,"1,307",1년전,"1,580",일평년,"1,260"
쥬키니,쥬키니(1개),상품,1개,당일 (06/13),"1,253",224,04,1일전 (06/12),"1,253",1주일전 (06/06),-,2주일전 (05/30),"1,253",1개월전,"1,313",1년전,"1,409",일평년,"1,232"
토마토,토마토(1kg),상품,1kg,당일 (06/13),"4,076",225,04,1일전 (06/12),"4,172",1주일전 (06/06),-,2주일전 (05/30),"5,114",1개월전,"5,439",1년전,"4,245",일평년,"3,715"
무,봄(1개),상품,1개,당일 (06/13),"2,230",231,04,1일전 (06/12),"2,130",1주일전 (06/06),-,2주일전 (05/30),"2,162",1개월전,"2,012",1년전,"1,798",일평년,"1,678"
당근,무세척(1kg),상품,1kg,당일 (06/13),"5,480",232,04,1일전 (06/12),"5,572",1주일전 (06/06),-,2주일전 (05/30),"4,883",1개월전,"4,377",1년전,"4,280",일평년,"3,535"
열무,열무(1kg),상품,1kg,당일 (06/13),"2,266",233,04,1일전 (06/12),"2,181",1주일전 (06/06),-,2주일전 (05/30),"2,656",1개월전,"2,891",1년전,"2,351",일평년,"2,214"
건고추,화건(600g),상품,600g,당일 (06/13),"21,300",241,04,1일전 (06/12),"21,300",1주일전 (06/06),-,2주일전 (05/30),"21,300",1개월전,"18,740",1년전,"16,220",일평년,"15,460"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (06/13),"1,246",242,04,1일전 (06/12),"1,319",1주일전 (06/06),-,2주일전 (05/30),"1,293",1개월전,"1,385",1년전,"1,415",일평년,"1,252"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (06/13),"1,246",242,04,1일전 (06/12),"1,319",1주일전 (06/06),-,2주일전 (05/30),"1,293",1개월전,"1,385",1년전,"1,415",일평년,"1,252"
꽈리고추,꽈리고추(100g),상품,100g,당일 (06/13),"1,294",242,04,1일전 (06/12),"1,334",1주일전 (06/06),-,2주일전 (05/30),"1,501",1개월전,"1,448",1년전,"1,417",일평년,"1,226"
청양고추,청양고추(100g),상품,100g,당일 (06/13),"1,046",242,04,1일전 (06/12),"1,123",1주일전 (06/06),-,2주일전 (05/30),"1,163",1개월전,"1,086",1년전,"1,100",일평년,994
오이고추,오이맛고추(100g),상품,100g,당일 (06/13),912,242,04,1일전 (06/12),995,1주일전 (06/06),-,2주일전 (05/30),"1,142",1개월전,"1,046",1년전,"1,031",일평년,951
