item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (10/04),-,111,04,1일전 (10/03),-,1주일전 (09/27),"49,944",2주일전 (09/20),"50,233",1개월전,"39,217",1년전,"56,334",일평년,"53,428"
찹쌀,일반계(1kg),상품,1kg,당일 (10/04),-,112,04,1일전 (10/03),-,1주일전 (09/27),"4,097",2주일전 (09/20),"4,097",1개월전,"3,936",1년전,"3,821",일평년,"4,395"
콩,흰 콩(국산)(500g),상품,500g,당일 (10/04),-,141,04,1일전 (10/03),-,1주일전 (09/27),"5,074",2주일전 (09/20),"5,053",1개월전,"5,182",1년전,"4,936",일평년,"5,035"
팥,붉은 팥(국산)(500g),상품,500g,당일 (10/04),-,142,04,1일전 (10/03),-,1주일전 (09/27),"10,506",2주일전 (09/20),"10,506",1개월전,"10,413",1년전,"8,051",일평년,"7,637"
녹두,국산(500g),상품,500g,당일 (10/04),-,143,04,1일전 (10/03),-,1주일전 (09/27),"12,009",2주일전 (09/20),"12,009",1개월전,"11,459",1년전,"11,289",일평년,"10,453"
고구마,밤(1kg),상품,1kg,당일 (10/04),-,151,04,1일전 (10/03),-,1주일전 (09/27),"5,497",2주일전 (09/20),"4,919",1개월전,"5,470",1년전,"5,864",일평년,"5,646"
감자,수미(노지)(100g),상품,100g,당일 (10/04),-,152,04,1일전 (10/03),-,1주일전 (09/27),294,2주일전 (09/20),286,1개월전,306,1년전,372,일평년,328
메밀,메밀(수입)(1kg),중품,1kg,당일 (10/04),-,144,05,1일전 (10/03),-,1주일전 (09/27),"2,950",2주일전 (09/20),"3,000",1개월전,"3,460",1년전,"3,867",일평년,"3,710"
배추,여름(고랭지)(1포기),상품,1포기,당일 (10/04),-,211,04,1일전 (10/03),-,1주일전 (09/27),"9,473",2주일전 (09/20),"9,338",1개월전,"6,870",1년전,"6,937",일평년,"7,428"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (10/04),-,211,04,1일전 (10/03),-,1주일전 (09/27),"9,473",2주일전 (09/20),"9,338",1개월전,"6,870",1년전,"6,937",일평년,"7,428"
양배추,양배추(1포기),상품,1포기,당일 (10/04),-,212,04,1일전 (10/03),-,1주일전 (09/27),"4,386",2주일전 (09/20),"3,980",1개월전,"4,225",1년전,"5,442",일평년,"4,391"
시금치,시금치(100g),상품,100g,당일 (10/04),-,213,04,1일전 (10/03),-,1주일전 (09/27),"2,694",2주일전 (09/20),"3,639",1개월전,"4,184",1년전,"1,966",일평년,"1,185"
상추,적(100g),상품,100g,당일 (10/04),-,214,04,1일전 (10/03),-,1주일전 (09/27),"2,729",2주일전 (09/20),"2,303",1개월전,"1,988",1년전,"1,693",일평년,"1,297"
적상추,적(100g),상품,100g,당일 (10/04),-,214,04,1일전 (10/03),-,1주일전 (09/27),"2,729",2주일전 (09/20),"2,303",1개월전,"1,988",1년전,"1,693",일평년,"1,297"
청상추,청(100g),상품,100g,당일 (10/04),-,214,04,1일전 (10/03),-,1주일전 (09/27),"2,551",2주일전 (09/20),"2,341",1개월전,"2,395",1년전,"1,841",일평년,"1,320"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (10/04),-,215,04,1일전 (10/03),-,1주일전 (09/27),"5,372",2주일전 (09/20),"5,469",1개월전,"5,122",1년전,"3,776",일평년,"3,133"
수박,수박(1개),상품,1개,당일 (10/04),-,221,04,1일전 (10/03),-,1주일전 (09/27),"21,900",2주일전 (09/20),"23,300",1개월전,"29,602",1년전,"22,920",일평년,"20,531"
참외,참외(10개),상품,10개,당일 (10/04),-,222,04,1일전 (10/03),-,1주일전 (09/27),-,2주일전 (09/20),"19,350",1개월전,"23,918",1년전,"31,594",일평년,"27,212"
오이,가시계통(10개),상품,10개,당일 (10/04),-,223,04,1일전 (10/03),-,1주일전 (09/27),"16,600",2주일전 (09/20),"15,500",1개월전,"15,250",1년전,"14,563",일평년,"10,729"
가시오이,가시계통(10개),상품,10개,당일 (10/04),-,223,04,1일전 (10/03),-,1주일전 (09/27),"16,600",2주일전 (09/20),"15,500",1개월전,"15,250",1년전,"14,563",일평년,"10,729"
다다기오이,다다기계통(10개),상품,10개,당일 (10/04),-,223,04,1일전 (10/03),-,1주일전 (09/27),"16,311",2주일전 (09/20),"13,867",1개월전,"15,693",1년전,"12,285",일평년,"9,916"
취청오이,취청(10개),상품,10개,당일 (10/04),-,223,04,1일전 (10/03),-,1주일전 (09/27),"19,400",2주일전 (09/20),"16,190",1개월전,"17,496",1년전,"15,231",일평년,"11,810"
애호박,애호박(1개),상품,1개,당일 (10/04),-,224,04,1일전 (10/03),-,1주일전 (09/27),"2,404",2주일전 (09/20),"2,223",1개월전,"2,298",1년전,"1,753",일평년,"1,544"
쥬키니,쥬키니(1개),상품,1개,당일 (10/04),-,224,04,1일전 (10/03),-,1주일전 (09/27),"3,365",2주일전 (09/20),"1,865",1개월전,"1,881",1년전,"2,436",일평년,"1,851"
토마토,토마토(1kg),상품,1kg,당일 (10/04),-,225,04,1일전 (10/03),-,1주일전 (09/27),"8,627",2주일전 (09/20),"9,667",1개월전,"7,169",1년전,"9,024",일평년,"7,679"
무,고랭지(1개),상품,1개,당일 (10/04),-,231,04,1일전 (10/03),-,1주일전 (09/27),"3,887",2주일전 (09/20),"4,258",1개월전,"3,685",1년전,"2,567",일평년,"2,975"
당근,무세척(1kg),상품,1kg,당일 (10/04),-,232,04,1일전 (10/03),-,1주일전 (09/27),"7,317",2주일전 (09/20),"7,480",1개월전,"7,424",1년전,"6,443",일평년,"4,881"
열무,열무(1kg),상품,1kg,당일 (10/04),-,233,04,1일전 (10/03),-,1주일전 (09/27),"5,137",2주일전 (09/20),"5,353",1개월전,"5,094",1년전,"3,629",일평년,"3,109"
건고추,화건(600g),상품,600g,당일 (10/04),-,241,04,1일전 (10/03),-,1주일전 (09/27),"19,960",2주일전 (09/20),"20,900",1개월전,"18,933",1년전,"18,429",일평년,"16,850"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (10/04),-,242,04,1일전 (10/03),-,1주일전 (09/27),"1,917",2주일전 (09/20),"2,179",1개월전,"1,832",1년전,"1,785",일평년,"1,422"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (10/04),-,242,04,1일전 (10/03),-,1주일전 (09/27),"1,917",2주일전 (09/20),"2,179",1개월전,"1,832",1년전,"1,785",일평년,"1,422"
꽈리고추,꽈리고추(100g),상품,100g,당일 (10/04),-,242,04,1일전 (10/03),-,1주일전 (09/27),"2,074",2주일전 (09/20),"2,616",1개월전,"2,064",1년전,"1,756",일평년,"1,684"
청양고추,청양고추(100g),상품,100g,당일 (10/04),-,242,04,1일전 (10/03),-,1주일전 (09/27),"1,876",2주일전 (09/20),"2,007",1개월전,"1,570",1년전,"1,521",일평년,"1,239"
오이고추,오이맛고추(100g),상품,100g,당일 (10/04),-,242,04,1일전 (10/03),-,1주일전 (09/27),"1,551",2주일전 (09/20),"1,651",1개월전,"1,407",1년전,"1,316",일평년,"1,169"
붉은고추,붉은고추(100g),상품,100g,당일 (10/04),-,243,04,1일전 (10/03),-,1주일전 (09/27),"3,034",2주일전 (09/20),"2,296",1개월전,"1,844",1년전,"2,123",일평년,"1,852"
양파,양파(1kg),상품,1kg,당일 (10/04),-,245,04,1일전 (10/03),-,1주일전 (09/27),"2,073",2주일전 (09/20),"2,214",1개월전,"2,098",1년전,"2,298",일평년,"2,216"
대파,대파(1kg),상품,1kg,당일 (10/04),-,246,04,1일전 (10/03),-,1주일전 (09/27),"3,540",2주일전 (09/20),"3,253",1개월전,"3,087",1년전,"3,816",일평년,"3,370"
쪽파,쪽파(1kg),상품,1kg,당일 (10/04),-,246,04,1일전 (10/03),-,1주일전 (09/27),"13,250",2주일전 (09/20),"14,033",1개월전,"14,885",1년전,"10,143",일평년,"7,866"
생강,국산(1kg),상품,1kg,당일 (10/04),-,247,04,1일전 (10/03),-,1주일전 (09/27),"16,470",2주일전 (09/20),"16,925",1개월전,"15,181",1년전,"18,756",일평년,"12,439"
고춧가루,국산(1kg),상품,1kg,당일 (10/04),-,248,04,1일전 (10/03),-,1주일전 (09/27),"38,333",2주일전 (09/20),"37,889",1개월전,"34,621",1년전,"36,401",일평년,"32,918"
미나리,미나리(100g),상품,100g,당일 (10/04),-,252,04,1일전 (10/03),-,1주일전 (09/27),"2,330",2주일전 (09/20),"2,298",1개월전,"2,109",1년전,"1,924",일평년,"1,145"
깻잎,깻잎(100g),상품,100g,당일 (10/04),-,253,04,1일전 (10/03),-,1주일전 (09/27),"3,913",2주일전 (09/20),"3,969",1개월전,"3,274",1년전,"3,167",일평년,"2,606"
피망,청(100g),상품,100g,당일 (10/04),-,255,04,1일전 (10/03),-,1주일전 (09/27),"1,873",2주일전 (09/20),"1,597",1개월전,"1,326",1년전,"1,400",일평년,"1,283"
파프리카,파프리카(200g),상품,200g,당일 (10/04),-,256,04,1일전 (10/03),-,1주일전 (09/27),"2,425",2주일전 (09/20),"2,511",1개월전,"2,363",1년전,"2,179",일평년,"2,038"
