item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (02/21),"54,967",111,04,1일전 (02/20),"54,411",1주일전 (02/14),"55,633",2주일전 (02/07),"54,856",1개월전,"43,051",1년전,"50,320",일평년,"52,489"
찹쌀,일반계(1kg),상품,1kg,당일 (02/21),"3,646",112,04,1일전 (02/20),"3,646",1주일전 (02/14),"3,888",2주일전 (02/07),"3,888",1개월전,"3,798",1년전,"3,660",일평년,"4,664"
콩,흰 콩(국산)(500g),상품,500g,당일 (02/21),"5,228",141,04,1일전 (02/20),"5,228",1주일전 (02/14),"5,377",2주일전 (02/07),"5,400",1개월전,"5,058",1년전,"5,507",일평년,"5,226"
팥,붉은 팥(국산)(500g),상품,500g,당일 (02/21),"8,289",142,04,1일전 (02/20),"8,289",1주일전 (02/14),"8,810",2주일전 (02/07),"8,810",1개월전,"8,516",1년전,"6,743",일평년,"8,167"
녹두,국산(500g),상품,500g,당일 (02/21),"12,823",143,04,1일전 (02/20),"12,823",1주일전 (02/14),"12,637",2주일전 (02/07),"11,843",1개월전,"11,793",1년전,"10,430",일평년,"9,247"
고구마,밤(1kg),상품,1kg,당일 (02/21),"5,374",151,04,1일전 (02/20),"5,056",1주일전 (02/14),"4,956",2주일전 (02/07),"5,277",1개월전,"5,122",1년전,"5,237",일평년,"5,361"
감자,수미(노지)(100g),상품,100g,당일 (02/21),409,152,04,1일전 (02/20),409,1주일전 (02/14),419,2주일전 (02/07),409,1개월전,369,1년전,528,일평년,466
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/21),"3,600",144,05,1일전 (02/20),"3,600",1주일전 (02/14),"3,600",2주일전 (02/07),"3,400",1개월전,"3,767",1년전,"4,625",일평년,"3,472"
양배추,양배추(1포기),상품,1포기,당일 (02/21),"3,405",212,04,1일전 (02/20),"3,738",1주일전 (02/14),"3,634",2주일전 (02/07),"3,382",1개월전,"3,505",1년전,"3,816",일평년,"3,810"
시금치,시금치(100g),상품,100g,당일 (02/21),"1,201",213,04,1일전 (02/20),"1,192",1주일전 (02/14),"1,292",2주일전 (02/07),"1,006",1개월전,968,1년전,829,일평년,688
상추,적(100g),상품,100g,당일 (02/21),"1,105",214,04,1일전 (02/20),"1,119",1주일전 (02/14),"1,200",2주일전 (02/07),"1,241",1개월전,"1,234",1년전,"1,194",일평년,891
적상추,적(100g),상품,100g,당일 (02/21),"1,105",214,04,1일전 (02/20),"1,119",1주일전 (02/14),"1,200",2주일전 (02/07),"1,241",1개월전,"1,234",1년전,"1,194",일평년,891
청상추,청(100g),상품,100g,당일 (02/21),"1,155",214,04,1일전 (02/20),"1,199",1주일전 (02/14),"1,282",2주일전 (02/07),"1,318",1개월전,"1,327",1년전,"1,205",일평년,938
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/21),"4,162",215,04,1일전 (02/20),"4,382",1주일전 (02/14),"4,370",2주일전 (02/07),"4,322",1개월전,"3,902",1년전,"4,092",일평년,"2,894"
수박,수박(1개),상품,1개,당일 (02/21),"33,960",221,04,1일전 (02/20),"33,960",1주일전 (02/14),-,2주일전 (02/07),"39,863",1개월전,"28,165",1년전,-,일평년,"24,331"
오이,가시계통(10개),상품,10개,당일 (02/21),"27,950",223,04,1일전 (02/20),"27,450",1주일전 (02/14),"28,300",2주일전 (02/07),"24,960",1개월전,"20,634",1년전,"21,085",일평년,"13,772"
가시오이,가시계통(10개),상품,10개,당일 (02/21),"27,950",223,04,1일전 (02/20),"27,450",1주일전 (02/14),"28,300",2주일전 (02/07),"24,960",1개월전,"20,634",1년전,"21,085",일평년,"13,772"
다다기오이,다다기계통(10개),상품,10개,당일 (02/21),"13,372",223,04,1일전 (02/20),"13,483",1주일전 (02/14),"16,297",2주일전 (02/07),"16,417",1개월전,"15,606",1년전,"14,520",일평년,"10,367"
취청오이,취청(10개),상품,10개,당일 (02/21),"18,087",223,04,1일전 (02/20),"18,420",1주일전 (02/14),"21,420",2주일전 (02/07),"22,756",1개월전,"19,126",1년전,"17,648",일평년,"12,140"
애호박,애호박(1개),상품,1개,당일 (02/21),"2,906",224,04,1일전 (02/20),"2,898",1주일전 (02/14),"3,238",2주일전 (02/07),"3,249",1개월전,"2,697",1년전,"2,763",일평년,"2,085"
쥬키니,쥬키니(1개),상품,1개,당일 (02/21),"1,990",224,04,1일전 (02/20),"1,990",1주일전 (02/14),"2,740",2주일전 (02/07),"3,170",1개월전,"2,249",1년전,"3,749",일평년,"1,798"
토마토,토마토(1kg),상품,1kg,당일 (02/21),"7,441",225,04,1일전 (02/20),"7,712",1주일전 (02/14),"9,036",2주일전 (02/07),"9,170",1개월전,"8,154",1년전,"6,766",일평년,"5,944"
무,월동(1개),상품,1개,당일 (02/21),"1,638",231,04,1일전 (02/20),"1,678",1주일전 (02/14),"1,790",2주일전 (02/07),"1,481",1개월전,"1,540",1년전,"2,025",일평년,"1,749"
당근,무세척(1kg),상품,1kg,당일 (02/21),"4,033",232,04,1일전 (02/20),"3,911",1주일전 (02/14),"3,750",2주일전 (02/07),"3,222",1개월전,"3,310",1년전,"4,812",일평년,"3,531"
열무,열무(1kg),상품,1kg,당일 (02/21),"3,880",233,04,1일전 (02/20),"3,908",1주일전 (02/14),"4,860",2주일전 (02/07),"6,595",1개월전,"8,183",1년전,"4,073",일평년,"3,268"
건고추,화건(600g),상품,600g,당일 (02/21),"19,800",241,04,1일전 (02/20),"19,800",1주일전 (02/14),"19,800",2주일전 (02/07),"19,800",1개월전,"18,544",1년전,"16,459",일평년,"15,739"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (02/21),"2,141",242,04,1일전 (02/20),"2,213",1주일전 (02/14),"2,239",2주일전 (02/07),"2,272",1개월전,"1,903",1년전,"2,533",일평년,"1,801"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (02/21),"2,141",242,04,1일전 (02/20),"2,213",1주일전 (02/14),"2,239",2주일전 (02/07),"2,272",1개월전,"1,903",1년전,"2,533",일평년,"1,801"
꽈리고추,꽈리고추(100g),상품,100g,당일 (02/21),"2,300",242,04,1일전 (02/20),"2,346",1주일전 (02/14),"2,270",2주일전 (02/07),"2,450",1개월전,"1,812",1년전,"1,801",일평년,"1,412"
청양고추,청양고추(100g),상품,100g,당일 (02/21),"2,753",242,04,1일전 (02/20),"2,762",1주일전 (02/14),"2,646",2주일전 (02/07),"2,359",1개월전,"2,022",1년전,"2,652",일평년,"1,651"
오이고추,오이맛고추(100g),상품,100g,당일 (02/21),"2,098",242,04,1일전 (02/20),"2,150",1주일전 (02/14),"2,034",2주일전 (02/07),"2,114",1개월전,"1,744",1년전,"1,887",일평년,"1,887"
붉은고추,붉은고추(100g),상품,100g,당일 (02/21),"1,899",243,04,1일전 (02/20),"1,899",1주일전 (02/14),"1,908",2주일전 (02/07),"1,906",1개월전,"1,707",1년전,"1,875",일평년,"1,651"
양파,양파(1kg),상품,1kg,당일 (02/21),"2,313",245,04,1일전 (02/20),"2,293",1주일전 (02/14),"2,064",2주일전 (02/07),"2,008",1개월전,"2,430",1년전,"2,550",일평년,"2,155"
대파,대파(1kg),상품,1kg,당일 (02/21),"4,497",246,04,1일전 (02/20),"4,598",1주일전 (02/14),"4,942",2주일전 (02/07),"3,733",1개월전,"3,784",1년전,"3,444",일평년,"2,842"
쪽파,쪽파(1kg),상품,1kg,당일 (02/21),"11,498",246,04,1일전 (02/20),"12,572",1주일전 (02/14),"15,317",2주일전 (02/07),"14,000",1개월전,"11,140",1년전,"7,095",일평년,"6,982"
생강,국산(1kg),상품,1kg,당일 (02/21),"16,476",247,04,1일전 (02/20),"16,476",1주일전 (02/14),"16,314",2주일전 (02/07),"16,401",1개월전,"15,634",1년전,"13,892",일평년,"12,318"
고춧가루,국산(1kg),상품,1kg,당일 (02/21),"38,737",248,04,1일전 (02/20),"38,737",1주일전 (02/14),"37,066",2주일전 (02/07),"36,632",1개월전,"34,827",1년전,"31,956",일평년,"31,559"
미나리,미나리(100g),상품,100g,당일 (02/21),"1,978",252,04,1일전 (02/20),"2,088",1주일전 (02/14),"2,441",2주일전 (02/07),"2,377",1개월전,"1,871",1년전,"1,619",일평년,823
깻잎,깻잎(100g),상품,100g,당일 (02/21),"3,213",253,04,1일전 (02/20),"3,349",1주일전 (02/14),"3,752",2주일전 (02/07),"3,702",1개월전,"3,117",1년전,"2,575",일평년,"2,234"
피망,청(100g),상품,100g,당일 (02/21),"2,168",255,04,1일전 (02/20),"2,185",1주일전 (02/14),"2,443",2주일전 (02/07),"2,297",1개월전,"2,128",1년전,"1,788",일평년,"1,734"
파프리카,파프리카(200g),상품,200g,당일 (02/21),"2,521",256,04,1일전 (02/20),"2,508",1주일전 (02/14),"2,588",2주일전 (02/07),"2,636",1개월전,"2,389",1년전,"2,232",일평년,"1,974"
멜론,멜론(1개),상품,1개,당일 (02/21),"20,840",257,04,1일전 (02/20),"20,840",1주일전 (02/14),"18,843",2주일전 (02/07),"17,980",1개월전,"17,848",1년전,"16,853",일평년,"12,967"
알배기배추,알배기배추(1포기),상품,1포기,당일 (02/21),"3,238",279,04,1일전 (02/20),"3,127",1주일전 (02/14),"3,060",2주일전 (02/07),"3,019",1개월전,"2,762",1년전,-,일평년,-
