item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (03/27),"48,200",111,04,1일전 (03/26),"48,533",1주일전 (03/20),"52,522",2주일전 (03/13),"54,522",1개월전,"42,128",1년전,"50,929",일평년,"52,321"
찹쌀,일반계(1kg),상품,1kg,당일 (03/27),"4,267",112,04,1일전 (03/26),"4,267",1주일전 (03/20),"3,911",2주일전 (03/13),"4,092",1개월전,"3,712",1년전,"3,655",일평년,"4,654"
콩,흰 콩(국산)(500g),상품,500g,당일 (03/27),"5,313",141,04,1일전 (03/26),"5,313",1주일전 (03/20),"5,313",2주일전 (03/13),"5,581",1개월전,"5,085",1년전,"5,528",일평년,"5,261"
팥,붉은 팥(국산)(500g),상품,500g,당일 (03/27),"9,514",142,04,1일전 (03/26),"9,514",1주일전 (03/20),"8,859",2주일전 (03/13),"9,311",1개월전,"8,349",1년전,"7,897",일평년,"8,355"
녹두,국산(500g),상품,500g,당일 (03/27),"12,723",143,04,1일전 (03/26),"12,723",1주일전 (03/20),"12,723",2주일전 (03/13),"12,866",1개월전,"11,509",1년전,"10,425",일평년,"9,343"
고구마,밤(1kg),상품,1kg,당일 (03/27),"5,241",151,04,1일전 (03/26),"5,241",1주일전 (03/20),"5,154",2주일전 (03/13),"5,419",1개월전,"5,413",1년전,"5,357",일평년,"5,231"
감자,수미(노지)(100g),상품,100g,당일 (03/27),361,152,04,1일전 (03/26),434,1주일전 (03/20),434,2주일전 (03/13),454,1개월전,382,1년전,653,일평년,489
메밀,메밀(수입)(1kg),중품,1kg,당일 (03/27),"3,020",144,05,1일전 (03/26),"3,020",1주일전 (03/20),"2,950",2주일전 (03/13),"2,950",1개월전,"3,933",1년전,"4,600",일평년,"3,643"
양배추,양배추(1포기),상품,1포기,당일 (03/27),"3,892",212,04,1일전 (03/26),"3,808",1주일전 (03/20),"3,808",2주일전 (03/13),"3,985",1개월전,"3,684",1년전,"3,767",일평년,"3,669"
시금치,시금치(100g),상품,100g,당일 (03/27),669,213,04,1일전 (03/26),675,1주일전 (03/20),730,2주일전 (03/13),797,1개월전,"1,051",1년전,732,일평년,584
상추,적(100g),상품,100g,당일 (03/27),880,214,04,1일전 (03/26),927,1주일전 (03/20),834,2주일전 (03/13),"1,248",1개월전,"1,053",1년전,"1,033",일평년,786
적상추,적(100g),상품,100g,당일 (03/27),880,214,04,1일전 (03/26),927,1주일전 (03/20),834,2주일전 (03/13),"1,248",1개월전,"1,053",1년전,"1,033",일평년,786
청상추,청(100g),상품,100g,당일 (03/27),897,214,04,1일전 (03/26),950,1주일전 (03/20),"1,103",2주일전 (03/13),"1,301",1개월전,"1,131",1년전,"1,001",일평년,861
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (03/27),"3,931",215,04,1일전 (03/26),"3,946",1주일전 (03/20),"3,916",2주일전 (03/13),"3,656",1개월전,"3,867",1년전,"3,434",일평년,"2,710"
수박,수박(1개),상품,1개,당일 (03/27),"30,400",221,04,1일전 (03/26),"30,400",1주일전 (03/20),"30,897",2주일전 (03/13),"33,445",1개월전,"31,701",1년전,-,일평년,"24,291"
참외,참외(10개),상품,10개,당일 (03/27),"29,711",222,04,1일전 (03/26),"29,086",1주일전 (03/20),-,2주일전 (03/13),-,1개월전,-,1년전,"36,669",일평년,"28,807"
오이,가시계통(10개),상품,10개,당일 (03/27),"21,615",223,04,1일전 (03/26),"23,280",1주일전 (03/20),"24,615",2주일전 (03/13),"26,615",1개월전,"21,319",1년전,"15,537",일평년,"11,682"
가시오이,가시계통(10개),상품,10개,당일 (03/27),"21,615",223,04,1일전 (03/26),"23,280",1주일전 (03/20),"24,615",2주일전 (03/13),"26,615",1개월전,"21,319",1년전,"15,537",일평년,"11,682"
다다기오이,다다기계통(10개),상품,10개,당일 (03/27),"9,404",223,04,1일전 (03/26),"10,276",1주일전 (03/20),"10,074",2주일전 (03/13),"13,827",1개월전,"14,807",1년전,"10,557",일평년,"9,234"
취청오이,취청(10개),상품,10개,당일 (03/27),"17,356",223,04,1일전 (03/26),"17,827",1주일전 (03/20),"16,297",2주일전 (03/13),"21,726",1개월전,"18,802",1년전,"14,374",일평년,"11,856"
애호박,애호박(1개),상품,1개,당일 (03/27),"2,109",224,04,1일전 (03/26),"1,944",1주일전 (03/20),"2,257",2주일전 (03/13),"2,947",1개월전,"2,615",1년전,"2,054",일평년,"1,818"
쥬키니,쥬키니(1개),상품,1개,당일 (03/27),"3,263",224,04,1일전 (03/26),"3,653",1주일전 (03/20),"4,023",2주일전 (03/13),"4,887",1개월전,"2,478",1년전,"2,307",일평년,"1,892"
토마토,토마토(1kg),상품,1kg,당일 (03/27),"7,081",225,04,1일전 (03/26),"7,548",1주일전 (03/20),"7,646",2주일전 (03/13),"8,478",1개월전,"8,814",1년전,"6,712",일평년,"5,702"
무,월동(1개),상품,1개,당일 (03/27),"1,924",231,04,1일전 (03/26),"1,799",1주일전 (03/20),"1,754",2주일전 (03/13),"1,839",1개월전,"1,797",1년전,"1,914",일평년,"1,571"
당근,무세척(1kg),상품,1kg,당일 (03/27),"3,797",232,04,1일전 (03/26),"3,790",1주일전 (03/20),"4,413",2주일전 (03/13),"4,400",1개월전,"4,015",1년전,"4,786",일평년,"3,455"
열무,열무(1kg),상품,1kg,당일 (03/27),"3,742",233,04,1일전 (03/26),"3,772",1주일전 (03/20),"4,056",2주일전 (03/13),"3,538",1개월전,"3,434",1년전,"3,394",일평년,"2,861"
건고추,화건(600g),상품,600g,당일 (03/27),"21,650",241,04,1일전 (03/26),"21,650",1주일전 (03/20),"20,950",2주일전 (03/13),"20,950",1개월전,"18,454",1년전,"16,385",일평년,"15,671"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (03/27),"2,587",242,04,1일전 (03/26),"2,572",1주일전 (03/20),"2,312",2주일전 (03/13),"2,399",1개월전,"2,203",1년전,"1,778",일평년,"1,452"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (03/27),"2,587",242,04,1일전 (03/26),"2,572",1주일전 (03/20),"2,312",2주일전 (03/13),"2,399",1개월전,"2,203",1년전,"1,778",일평년,"1,452"
꽈리고추,꽈리고추(100g),상품,100g,당일 (03/27),"2,250",242,04,1일전 (03/26),"2,250",1주일전 (03/20),"2,103",2주일전 (03/13),"2,414",1개월전,"1,938",1년전,"1,537",일평년,"1,371"
청양고추,청양고추(100g),상품,100g,당일 (03/27),"1,954",242,04,1일전 (03/26),"1,931",1주일전 (03/20),"1,839",2주일전 (03/13),"2,502",1개월전,"2,389",1년전,"1,541",일평년,"1,204"
오이고추,오이맛고추(100g),상품,100g,당일 (03/27),"2,107",242,04,1일전 (03/26),"2,078",1주일전 (03/20),"1,743",2주일전 (03/13),"2,031",1개월전,"1,954",1년전,"1,187",일평년,"1,187"
붉은고추,붉은고추(100g),상품,100g,당일 (03/27),"3,045",243,04,1일전 (03/26),"2,988",1주일전 (03/20),"2,856",2주일전 (03/13),"3,071",1개월전,"2,044",1년전,"3,118",일평년,"2,293"
양파,양파(1kg),상품,1kg,당일 (03/27),"2,744",245,04,1일전 (03/26),"2,783",1주일전 (03/20),"2,750",2주일전 (03/13),"2,361",1개월전,"2,379",1년전,"2,915",일평년,"2,397"
대파,대파(1kg),상품,1kg,당일 (03/27),"2,304",246,04,1일전 (03/26),"2,297",1주일전 (03/20),"2,504",2주일전 (03/13),"3,651",1개월전,"4,372",1년전,"3,475",일평년,"2,821"
쪽파,쪽파(1kg),상품,1kg,당일 (03/27),"8,867",246,04,1일전 (03/26),"9,168",1주일전 (03/20),"9,115",2주일전 (03/13),"8,695",1개월전,"9,506",1년전,"5,021",일평년,"4,861"
생강,국산(1kg),상품,1kg,당일 (03/27),"16,643",247,04,1일전 (03/26),"17,163",1주일전 (03/20),"16,643",2주일전 (03/13),"16,476",1개월전,"15,709",1년전,"13,894",일평년,"12,705"
고춧가루,국산(1kg),상품,1kg,당일 (03/27),"35,262",248,04,1일전 (03/26),"35,262",1주일전 (03/20),"35,240",2주일전 (03/13),"37,397",1개월전,"36,486",1년전,"33,898",일평년,"32,156"
미나리,미나리(100g),상품,100g,당일 (03/27),"1,850",252,04,1일전 (03/26),"1,852",1주일전 (03/20),"1,872",2주일전 (03/13),"1,727",1개월전,"1,815",1년전,"1,493",일평년,731
깻잎,깻잎(100g),상품,100g,당일 (03/27),"2,200",253,04,1일전 (03/26),"2,207",1주일전 (03/20),"2,306",2주일전 (03/13),"3,311",1개월전,"2,782",1년전,"2,414",일평년,"2,052"
피망,청(100g),상품,100g,당일 (03/27),"1,810",255,04,1일전 (03/26),"1,727",1주일전 (03/20),"1,843",2주일전 (03/13),"1,927",1개월전,"1,914",1년전,"1,518",일평년,"1,359"
파프리카,파프리카(200g),상품,200g,당일 (03/27),"1,817",256,04,1일전 (03/26),"1,817",1주일전 (03/20),"1,858",2주일전 (03/13),"2,454",1개월전,"2,598",1년전,"2,126",일평년,"1,842"
멜론,멜론(1개),상품,1개,당일 (03/27),"19,927",257,04,1일전 (03/26),"19,927",1주일전 (03/20),"21,260",2주일전 (03/13),"25,593",1개월전,"19,279",1년전,"17,281",일평년,"13,367"
알배기배추,알배기배추(1포기),상품,1포기,당일 (03/27),"4,027",279,04,1일전 (03/26),"3,960",1주일전 (03/20),"3,900",2주일전 (03/13),"3,560",1개월전,"3,105",1년전,-,일평년,-
브로콜리,브로콜리(국산)(1개),상품,1개,당일 (03/27),"3,234",280,04,1일전 (03/26),"3,160",1주일전 (03/20),"2,910",2주일전 (03/13),"2,860",1개월전,"2,166",1년전,-,일평년,-
방울토마토,방울토마토(1kg),상품,1kg,당일 (03/27),"13,970",422,04,1일전 (03/26),"14,320",1주일전 (03/20),"15,975",2주일전 (03/13),"16,460",1개월전,"14,023",1년전,"11,173",일평년,"8,704"
대추방울토마토,대추방울토마토(1kg),상품,1kg,당일 (03/27),"13,388",422,04,1일전 (03/26),"13,126",1주일전 (03/20),"13,744",2주일전 (03/13),"13,690",1개월전,"11,496",1년전,"10,238",일평년,"8,838"
마늘,난지(대서)(10kg),상품,10kg,당일 (03/27),"44,000",244,04,1일전 (03/26),"44,000",1주일전 (03/20),"44,000",2주일전 (03/13),"44,000",1개월전,"44,180",1년전,"65,220",일평년,"61,017"
참깨,백색(국산)(500g),상품,500g,당일 (03/27),"18,547",312,04,1일전 (03/26),"18,547",1주일전 (03/20),"18,547",2주일전 (03/13),"18,057",1개월전,"16,702",1년전,"16,067",일평년,"15,931"
땅콩,국산(100g),상품,100g,당일 (03/27),"3,567",314,04,1일전 (03/26),"3,567",1주일전 (03/20),"3,567",2주일전 (03/13),"3,489",1개월전,"3,320",1년전,"2,882",일평년,"2,669"
느타리버섯,느타리버섯(100g),상품,100g,당일 (03/27),"1,529",315,04,1일전 (03/26),"1,504",1주일전 (03/20),"1,355",2주일전 (03/13),"1,554",1개월전,"1,079",1년전,"1,103",일평년,"1,055"
애느타리버섯,애느타리버섯(100g),상품,100g,당일 (03/27),639,315,04,1일전 (03/26),622,1주일전 (03/20),581,2주일전 (03/13),630,1개월전,621,1년전,572,일평년,526
팽이버섯,팽이버섯(150g),상품,150g,당일 (03/27),662,316,04,1일전 (03/26),662,1주일전 (03/20),572,2주일전 (03/13),605,1개월전,552,1년전,590,일평년,552
새송이버섯,새송이버섯(100g),상품,100g,당일 (03/27),691,317,04,1일전 (03/26),691,1주일전 (03/20),693,2주일전 (03/13),685,1개월전,633,1년전,604,일평년,542
호두,수입(100g),중품,100g,당일 (03/27),"1,529",318,05,1일전 (03/26),"1,577",1주일전 (03/20),"1,577",2주일전 (03/13),"1,608",1개월전,"1,479",1년전,"1,541",일평년,"1,537"
아몬드,수입(100g),중품,100g,당일 (03/27),"1,520",319,05,1일전 (03/26),"1,520",1주일전 (03/20),"1,493",2주일전 (03/13),"1,563",1개월전,"1,556",1년전,"1,520",일평년,"1,474"
들깨,국산(22.5kg),상품,22.5kg,당일 (03/27),"245,000",313,04,1일전 (03/26),"245,000",1주일전 (03/20),"245,000",2주일전 (03/13),"245,000",1개월전,"273,000",1년전,"296,200",일평년,"289,748"
사과,후지(10개),상품,10개,당일 (03/27),"21,730",411,04,1일전 (03/26),"21,353",1주일전 (03/20),"21,201",2주일전 (03/13),"29,168",1개월전,"29,295",1년전,"22,886",일평년,"24,949"
배,신고(10개),상품,10개,당일 (03/27),"36,154",412,04,1일전 (03/26),"37,804",1주일전 (03/20),"38,664",2주일전 (03/13),"43,189",1개월전,"41,262",1년전,"28,337",일평년,"36,802"
샤인머스켓,샤인머스켓(2kg),L과,2kg,당일 (03/27),"28,088",414,24,1일전 (03/26),"28,088",1주일전 (03/20),"29,607",2주일전 (03/13),"32,546",1개월전,"28,358",1년전,-,일평년,-
바나나,수입(100g),상품,100g,당일 (03/27),303,418,04,1일전 (03/26),304,1주일전 (03/20),330,2주일전 (03/13),362,1개월전,335,1년전,333,일평년,307
파인애플,수입(1개),상품,1개,당일 (03/27),"7,182",420,04,1일전 (03/26),"7,182",1주일전 (03/20),"7,316",2주일전 (03/13),"7,145",1개월전,"8,114",1년전,"7,262",일평년,"5,941"
오렌지,네이블 미국(10개),상품,10개,당일 (03/27),"16,530",421,04,1일전 (03/26),"16,516",1주일전 (03/20),"15,330",2주일전 (03/13),"17,256",1개월전,"17,191",1년전,"15,908",일평년,"11,562"
레몬,수입(10개),상품,10개,당일 (03/27),"10,222",424,04,1일전 (03/26),"10,222",1주일전 (03/20),"10,222",2주일전 (03/13),"9,870",1개월전,"10,903",1년전,"10,008",일평년,"10,328"
체리,수입(100g),상품,100g,당일 (03/27),"2,330",425,04,1일전 (03/26),"2,330",1주일전 (03/20),"2,663",2주일전 (03/13),"2,770",1개월전,"2,685",1년전,-,일평년,-
망고,수입(1개),상품,1개,당일 (03/27),"3,305",428,04,1일전 (03/26),"3,305",1주일전 (03/20),"3,386",2주일전 (03/13),"3,480",1개월전,"3,944",1년전,"5,628",일평년,"4,255"
