item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (05/18),-,111,04,1일전 (05/17),"53,644",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"39,442",1년전,"51,883",일평년,"52,142"
찹쌀,일반계(1kg),상품,1kg,당일 (05/18),-,112,04,1일전 (05/17),"4,093",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"3,856",1년전,"3,622",일평년,"4,547"
콩,흰 콩(국산)(500g),상품,500g,당일 (05/18),-,141,04,1일전 (05/17),"5,316",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"5,381",1년전,"5,342",일평년,"5,243"
팥,붉은 팥(국산)(500g),상품,500g,당일 (05/18),-,142,04,1일전 (05/17),"9,566",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"9,357",1년전,"7,426",일평년,"8,299"
녹두,국산(500g),상품,500g,당일 (05/18),-,143,04,1일전 (05/17),"12,704",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"11,882",1년전,"9,888",일평년,"9,232"
고구마,밤(1kg),상품,1kg,당일 (05/18),-,151,04,1일전 (05/17),"5,863",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"5,278",1년전,"5,634",일평년,"5,772"
감자,수미(노지)(100g),상품,100g,당일 (05/18),-,152,04,1일전 (05/17),305,1주일전 (05/11),-,2주일전 (05/04),-,1개월전,389,1년전,626,일평년,497
메밀,메밀(수입)(1kg),중품,1kg,당일 (05/18),-,144,05,1일전 (05/17),"3,000",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"3,684",1년전,"4,550",일평년,"3,630"
양배추,양배추(1포기),상품,1포기,당일 (05/18),-,212,04,1일전 (05/17),"5,530",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"5,496",1년전,"4,432",일평년,"4,065"
시금치,시금치(100g),상품,100g,당일 (05/18),-,213,04,1일전 (05/17),646,1주일전 (05/11),-,2주일전 (05/04),-,1개월전,713,1년전,736,일평년,647
상추,적(100g),상품,100g,당일 (05/18),-,214,04,1일전 (05/17),741,1주일전 (05/11),-,2주일전 (05/04),-,1개월전,791,1년전,987,일평년,855
적상추,적(100g),상품,100g,당일 (05/18),-,214,04,1일전 (05/17),741,1주일전 (05/11),-,2주일전 (05/04),-,1개월전,791,1년전,987,일평년,855
청상추,청(100g),상품,100g,당일 (05/18),-,214,04,1일전 (05/17),902,1주일전 (05/11),-,2주일전 (05/04),-,1개월전,848,1년전,"1,033",일평년,909
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (05/18),-,215,04,1일전 (05/17),"2,643",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"2,961",1년전,"2,776",일평년,"2,207"
수박,수박(1개),상품,1개,당일 (05/18),-,221,04,1일전 (05/17),"22,617",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"30,336",1년전,"19,991",일평년,"19,859"
참외,참외(10개),상품,10개,당일 (05/18),-,222,04,1일전 (05/17),"19,400",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"31,586",1년전,"18,867",일평년,"18,522"
오이,가시계통(10개),상품,10개,당일 (05/18),-,223,04,1일전 (05/17),"11,615",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"13,878",1년전,"9,657",일평년,"7,579"
가시오이,가시계통(10개),상품,10개,당일 (05/18),-,223,04,1일전 (05/17),"11,615",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"13,878",1년전,"9,657",일평년,"7,579"
다다기오이,다다기계통(10개),상품,10개,당일 (05/18),-,223,04,1일전 (05/17),"6,584",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"8,944",1년전,"8,194",일평년,"6,173"
취청오이,취청(10개),상품,10개,당일 (05/18),-,223,04,1일전 (05/17),"11,751",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"16,447",1년전,"11,960",일평년,"8,432"
애호박,애호박(1개),상품,1개,당일 (05/18),-,224,04,1일전 (05/17),"1,396",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,713",1년전,"1,575",일평년,"1,092"
쥬키니,쥬키니(1개),상품,1개,당일 (05/18),-,224,04,1일전 (05/17),"1,530",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"2,210",1년전,"1,732",일평년,"1,183"
토마토,토마토(1kg),상품,1kg,당일 (05/18),-,225,04,1일전 (05/17),"5,301",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"7,300",1년전,"4,669",일평년,"4,382"
무,봄(1개),상품,1개,당일 (05/18),-,231,04,1일전 (05/17),"1,980",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,944",1년전,"2,500",일평년,"1,929"
당근,무세척(1kg),상품,1kg,당일 (05/18),-,232,04,1일전 (05/17),"4,323",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"5,317",1년전,"4,499",일평년,"3,797"
열무,열무(1kg),상품,1kg,당일 (05/18),-,233,04,1일전 (05/17),"2,896",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"2,841",1년전,"2,789",일평년,"2,313"
건고추,화건(600g),상품,600g,당일 (05/18),-,241,04,1일전 (05/17),"21,300",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"18,659",1년전,"15,945",일평년,"15,316"
풋고추,풋고추(녹광 등)(100g),상품,100g,당일 (05/18),-,242,04,1일전 (05/17),"1,357",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,927",1년전,"1,542",일평년,"1,221"
고추,풋고추(녹광 등)(100g),상품,100g,당일 (05/18),-,242,04,1일전 (05/17),"1,357",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,927",1년전,"1,542",일평년,"1,221"
꽈리고추,꽈리고추(100g),상품,100g,당일 (05/18),-,242,04,1일전 (05/17),"1,469",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,697",1년전,"1,522",일평년,"1,160"
청양고추,청양고추(100g),상품,100g,당일 (05/18),-,242,04,1일전 (05/17),"1,083",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,204",1년전,"1,097",일평년,856
오이고추,오이맛고추(100g),상품,100g,당일 (05/18),-,242,04,1일전 (05/17),"1,067",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,248",1년전,"1,035",일평년,966
붉은고추,붉은고추(100g),상품,100g,당일 (05/18),-,243,04,1일전 (05/17),"2,314",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"3,683",1년전,"1,852",일평년,"1,686"
양파,양파(1kg),상품,1kg,당일 (05/18),-,245,04,1일전 (05/17),"2,334",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"2,609",1년전,"2,238",일평년,"2,079"
대파,대파(1kg),상품,1kg,당일 (05/18),-,246,04,1일전 (05/17),"2,907",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"2,300",1년전,"3,488",일평년,"2,857"
쪽파,쪽파(1kg),상품,1kg,당일 (05/18),-,246,04,1일전 (05/17),"8,568",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"6,951",1년전,"7,183",일평년,"5,769"
생강,국산(1kg),상품,1kg,당일 (05/18),-,247,04,1일전 (05/17),"16,825",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"16,079",1년전,"15,269",일평년,"13,554"
고춧가루,국산(1kg),상품,1kg,당일 (05/18),-,248,04,1일전 (05/17),"36,600",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"34,568",1년전,"34,400",일평년,"31,768"
미나리,미나리(100g),상품,100g,당일 (05/18),-,252,04,1일전 (05/17),"1,540",1주일전 (05/11),-,2주일전 (05/04),-,1개월전,"1,477",1년전,"1,193",일평년,589
