item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (08/13),"50,689",111,04,1일전 (08/12),"50,689",1주일전 (08/06),"50,122",2주일전 (07/30),"50,611",1개월전,"40,696",1년전,"53,942",일평년,"52,697"
찹쌀,일반계(1kg),상품,1kg,당일 (08/13),"4,139",112,04,1일전 (08/12),"4,139",1주일전 (08/06),"4,239",2주일전 (07/30),"4,003",1개월전,"3,800",1년전,"3,513",일평년,"4,323"
콩,흰 콩(국산)(500g),상품,500g,당일 (08/13),"5,009",141,04,1일전 (08/12),"5,009",1주일전 (08/06),"5,009",2주일전 (07/30),"5,303",1개월전,"5,338",1년전,"5,186",일평년,"5,140"
팥,붉은 팥(국산)(500g),상품,500g,당일 (08/13),"10,528",142,04,1일전 (08/12),"10,528",1주일전 (08/06),"10,580",2주일전 (07/30),"10,431",1개월전,"10,394",1년전,"7,651",일평년,"7,699"
녹두,국산(500g),상품,500g,당일 (08/13),"11,894",143,04,1일전 (08/12),"11,894",1주일전 (08/06),"11,894",2주일전 (07/30),"10,980",1개월전,"11,189",1년전,"10,793",일평년,"9,786"
고구마,밤(1kg),상품,1kg,당일 (08/13),"6,264",151,04,1일전 (08/12),"5,953",1주일전 (08/06),"6,098",2주일전 (07/30),"6,070",1개월전,"5,803",1년전,"6,799",일평년,"6,360"
감자,수미(노지)(100g),상품,100g,당일 (08/13),310,152,04,1일전 (08/12),310,1주일전 (08/06),307,2주일전 (07/30),300,1개월전,314,1년전,341,일평년,297
메밀,메밀(수입)(1kg),중품,1kg,당일 (08/13),"3,000",144,05,1일전 (08/12),"3,000",1주일전 (08/06),"3,100",2주일전 (07/30),"3,100",1개월전,"3,517",1년전,"4,300",일평년,"3,870"
배추,여름(고랭지)(1포기),상품,1포기,당일 (08/13),"6,114",211,04,1일전 (08/12),"6,225",1주일전 (08/06),"5,421",2주일전 (07/30),"5,380",1개월전,"4,828",1년전,"5,895",일평년,"5,699"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (08/13),"6,114",211,04,1일전 (08/12),"6,225",1주일전 (08/06),"5,421",2주일전 (07/30),"5,380",1개월전,"4,828",1년전,"5,895",일평년,"5,699"
