item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(20kg),상품,20kg,당일 (03/23),-,111,04,1일전 (03/22),"51,189",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"42,128",1년전,"50,929",일평년,"52,321"
찹쌀,일반계(1kg),상품,1kg,당일 (03/23),-,112,04,1일전 (03/22),"3,911",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"3,712",1년전,"3,655",일평년,"4,654"
콩,흰 콩(국산)(500g),상품,500g,당일 (03/23),-,141,04,1일전 (03/22),"5,313",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"5,085",1년전,"5,528",일평년,"5,261"
팥,붉은 팥(국산)(500g),상품,500g,당일 (03/23),-,142,04,1일전 (03/22),"8,859",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"8,349",1년전,"7,897",일평년,"8,355"
녹두,국산(500g),상품,500g,당일 (03/23),-,143,04,1일전 (03/22),"12,723",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"11,509",1년전,"10,425",일평년,"9,343"
고구마,밤(1kg),상품,1kg,당일 (03/23),-,151,04,1일전 (03/22),"5,143",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"5,413",1년전,"5,357",일평년,"5,231"
감자,수미(노지)(100g),상품,100g,당일 (03/23),-,152,04,1일전 (03/22),434,1주일전 (03/16),-,2주일전 (03/09),-,1개월전,382,1년전,653,일평년,489
메밀,메밀(수입)(1kg),중품,1kg,당일 (03/23),-,144,05,1일전 (03/22),"2,950",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"3,933",1년전,"4,600",일평년,"3,643"
양배추,양배추(1포기),상품,1포기,당일 (03/23),-,212,04,1일전 (03/22),"3,875",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"3,684",1년전,"3,767",일평년,"3,669"
시금치,시금치(100g),상품,100g,당일 (03/23),-,213,04,1일전 (03/22),673,1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"1,051",1년전,732,일평년,584
상추,적(100g),상품,100g,당일 (03/23),-,214,04,1일전 (03/22),936,1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"1,053",1년전,"1,033",일평년,786
적상추,적(100g),상품,100g,당일 (03/23),-,214,04,1일전 (03/22),936,1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"1,053",1년전,"1,033",일평년,786
청상추,청(100g),상품,100g,당일 (03/23),-,214,04,1일전 (03/22),932,1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"1,131",1년전,"1,001",일평년,861
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (03/23),-,215,04,1일전 (03/22),"3,984",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"3,867",1년전,"3,434",일평년,"2,710"
수박,수박(1개),상품,1개,당일 (03/23),-,221,04,1일전 (03/22),"32,350",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"31,701",1년전,-,일평년,"24,291"
오이,가시계통(10개),상품,10개,당일 (03/23),-,223,04,1일전 (03/22),"22,950",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"21,319",1년전,"15,537",일평년,"11,682"
가시오이,가시계통(10개),상품,10개,당일 (03/23),-,223,04,1일전 (03/22),"22,950",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"21,319",1년전,"15,537",일평년,"11,682"
다다기오이,다다기계통(10개),상품,10개,당일 (03/23),-,223,04,1일전 (03/22),"9,016",1주일전 (03/16),-,2주일전 (03/09),-,1개월전,"14,807",1년전,"10,557",일평년,"9,234"
