식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
비빔막국수,100ml,104,3.06,0.86,21.47,3.82,256.0,1.81,0.17,,700ml
울면,100ml,85,4.29,0.97,14.05,0.76,158.0,29.64,0.24,,1020m
쟁반짜장,100ml,145,5.85,2.63,23.63,2.42,321.0,18.56,0.53,,900ml
중식우동,100ml,91,4.73,0.84,15.29,0.82,202.0,28.82,0.21,,960ml
칼국수,100ml,113,3.41,2.73,18.42,0.16,149.0,0.01,0.25,,1020m
해물칼국수,100ml,77,3.09,0.4,14.64,0.22,252.0,5.06,0.1,,1100m
돌솥비빔밥,100ml,86,2.81,2.07,13.99,1.23,116.0,29.06,0.49,,550ml
오므라이스,100ml,117,3.64,3.33,17.22,2.5,211.0,48.8,0.75,,450ml
우럭회덮밥,100ml,67,3.49,0.77,11.47,1.55,64.0,1.85,0.14,,750ml
참치덮밥,100ml,108,5.8,2.13,15.91,2.05,341.0,6.14,0.28,,580ml
참치회덮밥,100ml,76,4.73,0.81,12.14,1.65,88.0,7.44,0.19,,600ml
콩나물국밥,100ml,60,2.66,0.73,10.69,0.42,58.0,19.77,0.2,,830ml
밀크티,100g,94,2.38,2.55,15.37,12.76,55.0,9.86,2.11,0.07,100g
액상커피,100g,51,0.43,1.03,10.06,5.94,5.0,0.0,0.96,0.0,100g
고구마,100g,132,2.45,0.12,30.17,18.43,79.0,0.0,0.02,0.0,100g
팝콘,100g,511,8.3,27.34,58.06,0.38,500.0,0.49,11.05,0.06,100g
달걀,100g,150,12.8,10.65,0.63,0.62,127.0,380.51,3.02,0.03,100g
대구포,100g,141,31.97,0.4,2.33,0.0,3876.0,107.15,0.17,0.0,100g
넙치(광어)회덮밥,100ml,77,4.27,1.06,12.64,1.92,85.0,7.03,0.16,,510ml
소스/드레싱,100g,116,8.93,5.54,7.66,5.93,530.0,89.07,1.08,0.02,768g
카레소스,100g,136,9.16,8.38,6.02,2.86,264.0,149.5,1.98,0.07,386g
밀크쉐이크,100ml,113,2.43,3.88,17.01,16.57,51.0,9.1,1.65,0.02,100g
빙수,100g,141,5.97,4.35,19.6,14.98,63.0,8.26,1.37,0.04,100g
아이스크림,100g,196,3.17,6.86,30.45,25.42,79.0,9.1,3.94,0.03,100g
우유,100ml,73,2.04,2.31,11.04,10.24,23.0,6.93,1.15,0.08,100g
과ㆍ채주스,100g,29,0.36,0.04,6.88,6.81,29.0,0.0,0.01,0.0,100g
라떼,100g,76,2.97,2.56,10.33,9.41,29.0,9.96,1.42,0.09,100g
레몬청차,100g,60,0.13,0.01,14.8,16.33,3.0,0.0,0.0,0.0,100g
오이소박이,100g,37,1.93,0.59,5.92,3.1,454.0,1.44,0.12,0.0,100g
유채김치,100g,62,3.5,0.8,10.1,,926.0,,0.0,0.0,100g
유채물김치,100g,17,1.0,0.1,3.0,,452.0,,0.0,0.0,100g
총각김치,100g,42,1.92,0.29,7.89,3.0,630.0,0.0,0.05,0.0,100g
파김치,100g,49,2.5,0.58,8.51,2.8,655.0,0.0,0.11,0.0,100g
게장,100g,88,12.25,2.31,4.47,2.93,910.0,140.73,0.63,0.07,100g
명란젓,100g,147,17.96,6.54,3.98,0.0,2044.0,247.92,0.72,0.05,100g
조개젓,100g,103,8.61,2.05,12.61,6.46,3040.0,35.16,0.38,0.02,100g
고추장아찌,100g,124,2.39,0.63,31.49,11.38,2026.0,0.0,0.11,0.0,100g
들깻잎장아찌,100g,124,4.03,0.42,26.0,16.41,1809.0,0.0,0.06,0.0,100g
마늘장아찌,100g,113,2.43,0.16,25.36,15.03,1127.0,0.0,0.04,0.0,100g
마늘쫑장아찌,100g,118,1.96,0.14,27.34,13.02,1410.0,0.0,0.04,0.0,100g
매실장아찌,100g,243,1.65,0.43,58.11,38.16,1126.0,0.0,0.08,0.0,30g
무장아찌,100g,80,1.47,0.76,16.76,9.62,2933.0,0.13,0.04,0.0,30g
오이지,100g,29,0.82,1.79,2.52,1.87,2370.0,0.0,0.03,0.0,100g
회무침,100g,105,7.53,1.53,15.3,7.43,400.0,22.57,0.17,0.0,300g
갓김치,100g,37,3.26,0.4,7.07,2.46,720.0,0.0,0.08,0.01,100g
고들빼기김치,100g,111,3.16,1.22,21.87,5.69,1485.0,5.95,0.14,0.0,50g
깍두기,100g,40,1.36,0.21,8.27,3.22,523.0,0.0,0.03,0.0,
깻잎김치,100g,83,3.44,2.44,11.77,5.79,836.0,1.26,0.41,0.01,100g
동치미,100g,11,0.49,0.07,2.08,1.19,472.0,0.0,0.01,0.0,100g
배추김치,100g,38,1.98,0.43,6.49,2.4,551.0,0.0,0.07,0.0,100g
백김치,100g,16,0.95,0.07,3.0,1.04,395.0,0.0,0.01,0.01,100g
부추김치,100g,71,3.03,2.83,8.42,5.14,670.0,0.7,0.28,0.01,100g
얼갈이배추김치,100g,30,1.88,0.58,4.37,1.15,581.0,0.0,0.09,0.0,100g
열무김치,100g,36,2.39,0.38,5.87,0.68,583.0,0.0,0.06,0.0,100g
열무물김치,100g,18,1.41,0.07,2.91,1.68,493.0,0.0,0.02,0.0,100g
열무얼갈이김치,100g,35,2.15,0.66,5.22,0.91,680.0,2.07,0.08,0.0,50g
묵무침,100g,46,0.29,0.32,10.38,0.43,124.0,0.0,0.03,0.0,100g
물회,100g,76,4.91,2.7,7.9,2.86,299.0,17.18,0.4,0.01,700g
미역초무침,100g,63,2.19,0.48,12.57,8.29,597.0,1.14,0.04,0.0,100g
밴댕이무침,100g,150,7.45,8.25,11.5,6.75,257.0,25.38,1.15,0.05,400g
쑥갓나물무침,100g,64,3.0,3.8,4.4,0.2,473.0,0.03,0.47,0.0,150g
탕평채,100g,97,3.55,3.81,12.26,0.39,260.0,47.24,0.73,0.03,100g
파무침,100g,82,2.31,3.36,10.65,7.08,502.0,9.77,0.42,0.03,100g
홍어무침,100g,99,8.93,1.32,12.98,7.23,401.0,28.51,0.18,0.0,200g
탕수육,100g,227,12.36,10.67,20.47,7.37,399.0,22.22,4.06,0.07,790g
고구마줄기나물,100g,97,1.64,7.46,5.77,1.65,473.0,0.55,0.98,0.07,100g
깻잎나물볶음,100g,103,3.75,7.2,5.75,0.3,521.0,0.0,0.85,0.05,200g
머위나물무침,100g,85,1.62,7.66,2.49,0.44,452.0,0.0,0.82,0.06,100g
미나리나물,100g,59,2.03,3.67,4.48,0.0,301.0,0.0,0.5,0.02,50g
세발나물무침,100g,78,3.01,4.25,7.05,3.67,701.0,0.0,0.59,0.12,100g
우거지나물무침,100g,86,3.0,5.67,5.8,1.0,515.0,0.87,0.67,0.07,150g
취나물무침,100g,148,2.75,12.31,6.61,0.0,564.0,0.0,1.68,0.05,50g
냉채,100g,61,4.13,0.93,8.93,7.6,339.0,26.89,0.2,0.0,150g
노각무침,100g,56,1.73,1.2,9.53,4.73,545.0,0.0,0.13,0.0,150g
달래무침,100g,91,2.67,1.87,15.87,7.47,578.0,0.0,0.2,0.0,150g
돈가스,100g,262,14.46,17.97,10.71,3.11,322.0,27.73,3.96,0.12,319g
라조기,100g,199,10.33,11.75,13.12,0.08,324.0,45.29,2.57,0.08,200g
멘보샤,100g,289,10.52,21.6,13.22,1.0,696.0,69.91,3.57,0.14,100g
미꾸라지튀김,100g,387,10.89,25.39,28.85,0.3,324.0,50.15,3.89,0.15,100g
