식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
수제비,100g,83,2.88,1.34,14.83,0.83,415.0,0.0,0.19,0.02,1494g
라면,100g,19,0.44,0.96,2.08,0.0,380.0,0.0,0.45,0.01,100g
만두,100g,208,9.38,6.58,27.79,0.49,261.0,7.35,2.41,0.03,100g
밀면,100g,71,2.46,0.5,14.19,3.68,303.0,7.37,0.15,0.0,100g
매작과,100g,413,7.51,13.15,66.11,16.42,99.0,33.42,2.35,0.1,30g
산자,100g,366,2.31,3.09,82.17,31.35,23.0,0.0,0.09,0.0,30g
약과,100g,399,4.2,4.75,84.89,16.89,57.0,0.0,1.22,0.04,30g
유과,100g,424,2.81,12.83,74.23,24.15,23.0,0.0,1.37,0.04,30g
국수,100g,50,2.15,0.8,8.67,1.38,354.0,14.83,0.18,0.0,600g
기스면,100g,61,3.78,1.07,8.98,0.05,276.0,41.65,0.21,0.0,1000g
라멘,100g,91,3.82,5.09,7.38,1.17,427.0,21.5,0.71,0.01,1669g
앙금빵,100g,372,7.0,19.72,41.64,16.29,221.0,31.27,10.53,0.39,100g
케이크,100g,420,5.31,24.96,43.6,23.13,170.0,50.84,14.39,0.38,100g
크로켓(고로케),100g,301,7.13,16.38,31.19,3.37,403.0,41.89,3.59,0.15,100g
파이/만주,100g,318,7.33,2.34,66.86,32.07,169.0,22.39,1.3,0.06,70g
페이스트리,100g,457,8.56,26.28,46.45,8.21,423.0,24.21,17.24,0.84,70g
프레즐,100g,312,8.37,6.45,55.14,7.94,215.0,19.78,4.25,0.11,100g
피자,100g,253,13.7,8.35,30.6,4.6,458.0,22.85,4.65,0.2,200g
핫도그,100g,341,7.98,23.23,24.95,3.95,398.0,12.64,3.44,0.05,100g
햄버거,100g,225,11.04,13.12,15.64,5.18,323.0,29.58,3.73,0.29,100g
찹쌀떡,100g,277,3.26,0.15,65.61,17.54,226.0,0.0,0.15,0.0,100g
다식,100g,369,8.3,4.48,73.97,26.65,13.0,0.0,0.89,0.01,30g
다쿠아즈,100g,447,8.33,26.65,43.39,38.13,51.0,39.99,12.93,0.23,100g
도넛,100g,296,5.04,5.26,57.07,17.32,347.0,1.65,2.79,0.06,70g
마카롱,100g,480,6.92,30.11,45.23,41.94,47.0,26.1,14.96,0.26,100g
버터크림빵,100g,383,8.18,18.41,46.23,11.99,319.0,29.69,14.06,0.46,60g
샌드위치,100g,250,16.28,11.19,20.89,3.64,753.0,35.0,2.12,0.03,100g
소보로빵,100g,396,9.02,13.25,60.22,16.76,289.0,33.7,6.61,0.3,70g
식빵,100g,279,9.33,5.26,48.64,4.49,660.0,11.48,2.67,0.06,100g
무지개떡,100g,229,3.53,0.31,53.01,8.99,277.0,0.0,0.16,0.0,100g
백설기,100g,224,3.78,0.9,50.28,7.79,290.0,0.0,0.19,0.0,100g
빙떡(메밀전병),100g,168,6.18,6.29,21.62,0.62,346.0,8.05,1.19,0.04,100g
송편,100g,200,6.9,0.8,41.2,,463.0,,0.0,0.0,100g
수수경단,100g,218,8.2,1.4,43.1,,238.0,,0.0,0.0,100g
수수부꾸미,100g,248,5.73,6.29,42.1,0.24,261.0,0.0,0.97,0.03,100g
수수팥떡,100g,204,6.7,0.59,43.03,2.82,242.0,0.0,0.16,0.0,100g
시루떡,100g,217,5.47,0.61,47.54,3.22,278.0,0.0,0.24,0.0,100g
쑥떡,100g,249,3.36,0.4,57.89,10.72,254.0,0.0,0.2,0.0,100g
약식,100g,220,4.44,2.32,45.43,10.21,233.0,0.0,0.37,0.01,
인절미,100g,231,5.52,1.15,49.69,2.81,337.0,0.0,0.23,0.01,100g
절편,100g,197,3.82,0.8,43.58,0.08,258.0,0.0,0.25,0.0,100g
찰시루떡,100g,181,6.63,0.41,37.63,1.22,182.0,0.0,0.13,0.0,100g
충무김밥,100g,146,5.86,1.49,27.29,4.3,324.0,39.21,0.27,0.01,400g
캘리포니아롤,100g,163,4.11,3.02,29.74,2.97,432.0,21.99,0.71,0.02,300g
콩밥,100g,173,4.38,0.39,38.04,0.1,25.0,0.0,0.14,0.0,100g
회덮밥,100g,137,6.04,3.31,20.66,2.19,149.0,17.73,0.58,0.02,500g
가래떡,100g,210,4.0,1.08,46.11,0.06,250.0,0.0,0.22,0.0,100g
개피떡(바람떡),100g,206,5.32,0.81,44.3,7.62,286.0,0.0,0.26,0.01,100g
경단,100g,319,4.44,0.54,74.22,26.64,180.0,0.0,0.46,0.0,100g
기피편,100g,220,5.45,0.25,48.99,2.08,281.0,0.0,0.13,0.0,100g
모듬찰떡,100g,233,6.31,4.12,42.59,3.12,203.0,0.0,0.65,0.01,
모싯잎송편,100g,190,5.65,0.66,40.29,3.18,262.0,0.0,0.24,0.0,100g
김밥,100g,170,6.44,5.89,22.73,1.46,353.0,33.89,1.07,0.05,100g
누룽지,100g,69,1.32,0.1,15.06,1.15,13.0,0.0,0.04,0.0,100g
덮밥,100g,97,3.04,2.34,15.93,0.38,280.0,8.03,0.46,0.02,600g
리소토/리조또,100g,187,3.11,12.29,15.9,2.09,253.0,9.86,6.24,0.05,888g
묵밥,100g,68,1.56,0.81,13.54,1.59,218.0,4.49,0.16,0.0,950g
과일,100g,43,0.47,,,7.07,18.0,,0.0,,150g
견과,100g,550,17.5,37.5,37.5,17.5,5.0,0.0,3.75,0.0,40g
계란덮밥,100g,143,4.31,2.82,25.14,3.07,223.0,45.54,0.61,0.01,100g
곤드레나물밥,100g,149,2.94,2.71,28.26,0.0,26.0,0.0,0.26,0.0,350g
국밥,100g,52,3.45,1.03,7.33,0.05,288.0,5.98,0.34,0.03,800g
귀리밥,100g,162,3.9,0.87,34.54,0.09,0.0,0.0,0.16,0.0,100g
자몽홍차,100ml,43,0.23,0.01,10.45,9.32,2.0,0.0,0.0,0.0,500g
자몽차,100ml,28,0.17,,5.58,4.4,1.0,,0.0,,591g
유자차,100ml,50,0.0,,,11.69,11.0,,0.0,,473g
우롱차,100ml,4,0.03,,,0.73,1.0,,0.0,,586.6
오미자차,100ml,44,0.03,,,9.14,1.0,,0.0,,360g
사과차,100ml,39,0.02,,,7.88,34.0,,0.0,,591g
생강차,100ml,54,0.03,,,12.56,11.0,,0.0,,360g
뱅쇼,100ml,28,0.0,,,6.92,3.0,,0.0,,390g
복숭아홍차,100ml,31,0.0,,,7.34,1.0,,0.0,,354g
밀크티/버블티,100ml,82,1.43,,,10.85,24.0,,1.22,,638g
레몬차,100ml,33,0.06,0.0,7.18,6.55,0.0,0.0,0.0,0.0,500g
레몬홍차,100ml,18,0.01,,,4.17,0.0,,0.0,,600g
마테차,100ml,1,0.0,,,,1.0,,0.0,,360g
미숫가루,100ml,139,4.79,,,9.3,24.0,,1.41,,355g
녹차,100ml,1,0.0,,,0.0,1.0,,0.0,,354g
대추차,100ml,30,0.0,,,6.49,3.0,,0.0,,385g
기타차,100ml,53,0.12,0.15,12.57,10.35,1.0,0.0,0.01,0.0,500g
꿀차,100ml,22,0.0,,,4.79,0.0,,0.0,,355g
귤차,100ml,27,0.08,,,6.26,0.0,,0.0,,591g
기타음료,100ml,39,0.07,,,6.45,1.0,,0.0,,710g
요구르트(호상),100ml,154,3.43,,,17.71,51.0,,1.43,,175g
치즈,100g,273,8.96,,,16.42,570.0,,8.96,,67g
요구르트(액상),100ml,75,1.73,0.55,15.8,15.6,33.0,3.64,0.36,0.01,100g
샤베트,100g,45,0.11,,11.09,10.3,5.0,,,,470g
새우튀김,100g,295,6.1,,,1.18,756.0,,3.55,,100g
오징어튀김,100g,166,9.84,,,3.71,416.0,,5.88,,100g
우유튀김,100g,250,3.0,,,15.0,250.0,,1.0,,100g
떡강정,100g,232,7.71,,,0.97,297.0,,2.32,,100g
닭껍데기튀김,100g,616,20.42,,,0.67,938.0,,9.99,,100g
닭발튀김,100g,448,17.63,,,1.88,783.0,,5.93,,100g
북어튀김,100g,344,58.62,,,21.19,1183.0,,0.6,,100g
허니브레드,100g,308,6.09,,,7.17,338.0,,7.53,,279g
호떡,100g,250,7.14,,,5.71,310.0,,3.0,,70g
호밀빵,100g,273,5.91,,,19.09,215.0,,0.18,,220g
닭다리튀김,100g,239,24.23,,,2.4,325.0,,2.23,,100g
닭발구이,100g,235,17.0,,17.0,6.0,630.0,0.0,2.1,,100g
감자그라탕,100g,341,10.91,,,11.82,409.0,,6.36,,110g
미트볼조림,100g,108,4.7,5.1,10.7,4.7,293.0,,1.8,,370g
크로플,100g,217,3.54,10.61,15.53,9.9,116.0,12.0,1.33,0.0,100g
초콜릿,100g,611,9.09,,40.0,36.36,64.0,,18.18,,55g
캔디,100g,392,0.0,,,68.0,10.0,,0.0,,50g
소금빵,100g,325,8.33,11.67,46.67,3.33,650.0,0.0,6.83,0.0,60g
비스킷/쿠키/크래커,100g,518,6.4,,72.81,38.52,346.0,0.31,8.9,,62g
시리얼,100g,445,12.0,,,37.5,11.0,,7.5,,40g
웨이퍼,100g,528,7.0,31.0,55.0,36.0,85.0,0.0,21.0,0.62,50g
젤리,100g,350,0.0,,,58.33,303.0,,0.0,,60g
효모빵,100g,271,7.04,3.17,54.93,13.38,338.0,0.0,1.2,0.0,142g
피자빵,100g,259,10.34,,,6.21,372.0,,6.21,,145g
카스텔라,100g,352,33.33,,,33.33,133.0,,5.0,,120g
치즈빵,100g,289,8.33,17.26,25.0,5.36,411.0,17.86,4.17,0.0,168g
치아바타,100g,278,10.0,,,4.0,700.0,,0.0,,50g
츄러스,100g,356,1.71,11.1,56.95,16.59,434.0,0.0,3.05,0.0,82g
와플,100g,426,5.26,,,21.05,213.0,,10.53,,38g
찰떡빵,100g,301,7.14,,,16.07,268.0,,4.17,,168g
야채빵,100g,332,12.0,,,8.0,451.0,,1.2,,317g
스콘,100g,571,12.22,,,21.11,479.0,,6.67,,90g
소세지빵,100g,292,12.8,,,2.4,728.0,,3.68,,125g
베이글,100g,300,7.18,13.33,36.92,9.23,472.0,38.46,8.21,0.0,195g
팥빵,100g,290,7.5,,,3.5,152.0,58.5,1.8,0.0,20g
토스트,100g,321,5.26,13.68,43.16,9.47,398.0,31.58,7.37,1.05,95g
타르트,100g,400,4.21,,,16.84,316.0,,6.32,,95g
크림빵,100g,294,4.8,,,16.8,172.0,,4.8,,125g
크로와상,100g,453,7.55,26.42,45.28,9.43,415.0,0.0,16.98,0.0,53g
번,100g,343,9.2,9.2,54.02,12.64,297.0,,5.75,,87g
버거,100g,217,12.21,,,3.29,392.0,,2.35,,213g
버터빵,100g,339,8.2,,,1.3,454.0,,11.1,,50g
바게트,100g,323,6.83,11.8,45.96,10.56,441.0,21.74,4.97,0.31,161g
모닝빵,100g,383,8.33,17.42,49.24,12.88,288.0,2.65,7.58,0.0,132g
머핀,100g,440,7.0,23.0,51.0,29.0,530.0,36.0,6.0,0.0,100g
롤빵,100g,402,4.35,,,18.48,196.0,,16.3,,92g
마늘빵,100g,327,6.0,13.33,44.0,16.0,333.0,10.0,4.67,0.23,150g
또띠아,100g,214,15.0,,,0.0,218.0,,0.71,,140g
기타빵,100g,358,8.0,,,14.8,252.0,,7.2,,250g
깨찰빵,100g,302,4.0,,,4.0,560.0,,4.4,,50g
감자빵,100g,244,3.13,,,5.0,400.0,,3.75,,160g
건포도빵,100g,311,7.53,,,9.25,355.0,,0.97,,465g
계란빵,100g,313,2.0,,,18.0,361.0,,6.0,,100g
오징어젓,100g,60,10.1,0.7,3.4,2.4,2151.0,144.7,0.2,0.0,10g
꽃게장,100g,62,7.02,1.1,6.04,4.21,1089.0,48.91,0.16,0.0,250g
단무지,100g,13,0.33,0.2,2.4,0.47,552.0,0.0,0.03,0.0,30g
더덕장아찌,100g,141,4.47,0.89,28.9,15.38,1167.0,0.0,0.23,0.0,90g
무짠지,100g,11,0.54,0.12,1.98,1.58,2382.0,0.0,0.02,0.0,50g
무초절임(치킨무),100g,17,0.52,0.3,3.05,1.75,189.0,0.0,0.02,0.0,130g
오이장아찌,100g,14,0.36,0.28,2.54,1.04,740.0,0.0,0.04,0.0,50g
육회,100g,130,9.93,6.43,8.12,5.29,418.0,28.09,2.11,0.08,150g
피조개무침,100g,52,4.71,0.95,6.07,3.72,223.0,14.87,0.18,0.01,100g
해초무침,100g,39,0.95,0.16,8.52,3.95,862.0,0.0,0.06,0.0,100g
나박김치,100g,10,0.46,0.38,1.15,0.34,377.0,0.0,0.02,0.0,100g
물김치,100g,5,0.31,0.08,0.75,0.35,237.0,0.0,0.01,0.0,400g
보쌈김치,100g,30,2.19,0.72,3.73,1.69,661.0,5.98,0.04,0.0,90g
오이김치,100g,38,2.06,0.8,5.64,2.37,466.0,0.0,0.11,0.0,70g
가자미식해,100g,134,11.09,4.81,11.64,3.71,685.0,73.81,0.7,0.03,250g
갈치젓,100g,149,15.53,5.08,10.28,4.91,5023.0,112.27,1.87,0.03,90g
멸치젓,100g,90,11.4,1.6,7.4,0.6,6667.0,117.6,0.8,0.0,5g
새우젓,100g,69,7.1,1.8,6.0,0.5,7402.0,69.8,0.3,0.0,10g
양장피,100g,133,7.3,6.63,10.95,0.44,496.0,65.89,1.21,0.03,220g
오이무침,100g,31,1.95,0.39,5.01,4.15,1070.0,0.0,0.08,0.0,100g
오징어채무침,100g,258,23.6,5.53,28.41,18.71,1803.0,227.73,0.99,0.03,80g
톳나물무침,100g,75,1.87,2.09,12.28,6.94,600.0,0.0,0.3,0.01,90g
풋고추된장무침,100g,124,2.37,7.35,12.0,8.43,183.0,0.0,1.07,0.04,100g
다시마무침,100g,48,2.57,1.18,6.8,0.0,2759.0,13.03,0.28,0.0,90g
두릅무침,100g,67,2.16,3.01,7.89,4.54,205.0,0.0,0.42,0.0,90g
마늘쫑무침,100g,106,2.73,4.93,12.77,7.47,313.0,0.0,0.63,0.03,30g
미나리무침,100g,46,1.31,2.13,5.41,2.24,765.0,0.0,0.3,0.01,90g
민들레잎무침,100g,81,2.69,2.33,12.32,8.16,248.0,0.0,0.21,0.01,90g
버섯무침,100g,59,2.74,3.77,3.44,0.09,311.0,0.0,0.46,0.01,150g
토란대나물무침,100g,68,5.14,3.38,4.22,0.39,222.0,24.41,0.46,0.02,90g
호박오가리나물무침,100g,201,6.14,10.01,21.46,6.82,1849.0,0.0,1.65,0.13,100g
가죽나물무침,100g,76,5.83,1.35,10.05,3.81,276.0,0.0,0.19,0.01,80g
겉절이,100g,55,2.28,2.14,6.58,1.3,328.0,2.9,0.42,0.06,50g
굴무침,100g,77,6.68,2.31,7.3,2.74,204.0,28.38,0.61,0.03,80g
낙지무침,100g,77,12.41,1.24,3.96,0.14,340.0,136.42,0.17,0.0,180g
고사리나물무침,100g,90,3.78,5.52,6.28,0.5,441.0,0.0,0.7,0.02,50g
고춧잎나물무침,100g,88,4.41,4.69,7.14,1.51,797.0,0.0,0.74,0.09,90g
도라지나물무침,100g,130,2.48,7.52,13.12,0.9,411.0,0.0,1.0,0.04,50g
돌나물무침,100g,69,1.66,3.18,8.3,5.26,360.0,0.0,0.5,0.06,50g
머위대나물무침,100g,58,3.96,2.56,4.76,0.34,363.0,25.22,0.32,0.02,50g
무나물무침,100g,21,0.62,0.46,3.64,3.3,352.0,0.0,0.04,0.0,50g
방풍나물무침,100g,76,4.39,1.73,10.74,2.91,267.0,0.0,0.23,0.0,80g
비름나물무침,100g,73,3.46,4.05,5.7,0.86,335.0,0.0,0.63,0.1,80g
시래기나물무침,100g,114,4.32,7.28,7.74,0.54,514.0,0.0,0.9,0.02,50g
씀바귀나물무침,100g,97,3.87,1.73,16.57,1.28,204.0,0.0,0.36,0.08,90g
오징어조림,100g,137,16.55,2.37,12.45,6.85,1469.0,172.74,0.63,0.01,150g
오징어채조림,100g,240,23.52,4.9,25.36,13.78,1130.0,236.72,0.82,0.02,50g
쥐포조림,100g,276,13.03,8.86,36.12,23.37,1265.0,50.56,1.3,0.04,100g
김튀김,100g,522,11.0,28.9,54.36,0.14,606.0,0.0,5.36,0.2,50g
다시마튀각,100g,462,8.44,26.52,47.32,17.24,1305.0,0.0,4.08,0.32,50g
미역튀각,100g,443,13.24,33.9,21.14,11.36,5223.0,0.0,5.42,0.48,50g
풋고추볶음,100g,70,1.93,3.23,8.25,4.34,276.0,0.0,0.58,0.03,100g
햄볶음,100g,183,10.47,11.37,9.6,3.33,803.0,32.49,3.6,0.08,220g
땅콩조림,100g,483,18.75,36.4,19.95,9.85,574.0,0.0,5.8,0.05,20g
멸치조림,100g,318,40.92,13.22,8.93,7.35,3163.0,384.78,2.27,0.09,100g
무조림,100g,48,2.26,2.38,4.29,3.87,779.0,0.64,0.35,0.04,150g
병어조림,100g,112,12.46,4.78,4.87,0.22,842.0,40.81,2.07,0.12,100g
삼치조림,100g,125,15.88,5.63,2.61,2.03,441.0,51.41,1.64,0.04,100g
양미리조림,100g,65,5.76,0.66,9.09,2.2,711.0,49.59,0.29,0.01,100g
어묵조림,100g,159,5.83,4.73,23.16,2.43,428.0,7.84,0.81,0.05,200g
애호박볶음,100g,59,1.32,3.62,5.3,0.42,447.0,0.0,0.44,0.04,50g
양파볶음,100g,56,0.99,1.54,9.51,9.15,274.0,0.0,0.11,0.01,80g
죽순볶음,100g,120,13.68,5.59,3.78,2.07,214.0,30.97,2.12,0.13,230g
팔보채,100g,90,12.42,2.9,3.42,2.09,856.0,50.98,0.39,0.02,220g
라볶이,100g,134,2.83,4.71,20.14,0.94,311.0,2.52,1.47,0.03,200g
문어볶음,100g,88,10.97,1.02,8.62,5.44,487.0,78.89,0.22,0.01,200g
브로콜리볶음,100g,51,4.42,1.28,5.53,1.42,94.0,0.0,0.22,0.0,90g
삼겹살볶음,100g,151,5.76,10.49,8.4,3.62,604.0,13.36,3.36,0.13,200g
새우볶음,100g,83,9.91,2.21,5.96,3.99,326.0,79.67,0.38,0.03,200g
닭발볶음,100g,186,13.8,9.38,11.72,6.37,974.0,412.79,2.2,0.1,200g
당근볶음,100g,95,0.93,6.63,7.79,4.5,216.0,0.0,1.1,0.01,90g
돼지고기볶음(제육볶음),100g,195,12.15,14.19,4.73,0.38,501.0,45.6,4.18,0.06,250g
가지전,100g,123,5.48,7.28,8.88,0.84,337.0,98.48,1.8,0.1,200g
고구마전,100g,227,2.92,7.98,35.99,14.26,87.0,0.0,1.19,0.06,140g
맛살전,100g,165,7.48,6.24,19.69,1.14,559.0,64.18,1.21,0.06,200g
메밀전,100g,161,4.02,0.64,34.79,0.3,145.0,0.0,0.26,0.0,180g
산적,100g,200,29.06,8.56,1.55,0.06,586.0,56.15,2.41,0.05,170g
애호박전,100g,122,4.35,8.62,6.73,2.32,224.0,75.99,1.33,0.08,150g
뱅어포구이,100g,374,34.37,15.17,25.07,15.91,1479.0,469.76,3.0,0.11,70g
버섯구이,100g,52,5.16,1.38,4.78,0.11,492.0,0.0,0.41,0.01,80g
버섯구이표고버섯,100g,100,4.34,1.06,18.14,1.4,435.0,0.0,0.65,0.04,80g
삼겹살구이,100g,467,22.56,41.69,0.35,0.0,576.0,39.72,12.42,0.34,200g
새우구이,100g,145,23.41,4.44,2.82,0.03,330.0,233.98,0.74,0.05,180g
오리고기구이,100g,293,24.06,19.7,4.89,0.0,708.0,132.33,4.82,0.09,200g
조개구이,100g,130,17.43,2.07,10.44,3.6,454.0,25.29,0.09,0.0,180g
조기구이,100g,177,19.33,10.86,0.44,0.0,1364.0,91.79,3.08,0.12,180g
참치구이,100g,193,26.56,8.98,1.4,0.0,459.0,116.49,2.76,0.08,180g
치킨데리야끼,100g,208,16.54,9.01,15.21,0.11,267.0,53.29,2.59,0.06,340g
애호박찜,100g,181,9.5,6.48,21.18,1.81,161.0,12.54,1.44,0.07,100g
옥수수,100g,185,6.68,2.42,34.2,2.36,90.0,0.0,0.29,0.0,200g
코다리찜,100g,94,14.49,1.35,6.08,2.5,620.0,60.96,0.31,0.01,200g
콩나물찜,100g,56,6.67,1.01,4.97,0.0,223.0,64.85,0.21,0.0,200g
풋고추찜,100g,51,2.31,0.99,8.27,1.44,708.0,0.0,0.14,0.0,100g
곱창구이,100g,184,14.89,11.73,4.71,1.11,1315.0,196.11,4.11,0.31,150g
김구이,100g,470,20.4,30.2,29.0,0.2,4011.0,0.0,3.0,0.2,5g
떡갈비,100g,202,21.38,11.82,2.46,0.4,404.0,68.04,4.29,0.42,200g
런천미트구이,100g,303,17.56,24.38,3.27,1.71,954.0,35.69,9.01,0.16,160g
오징어찌개,100g,34,3.3,0.22,4.77,0.45,285.0,26.34,0.05,0.0,250g
가오리찜,100g,102,21.99,1.39,0.46,0.06,151.0,91.28,0.26,0.0,200g
감자,100g,70,2.16,0.16,15.01,0.86,3.0,0.0,0.03,0.0,200g
사태찜,100g,110,12.1,5.17,3.67,0.13,302.0,94.95,1.13,0.14,300g
수육,100g,166,28.43,4.94,2.04,0.11,31.0,88.3,1.89,0.26,300g
재첩국,100g,23,0.67,0.29,4.54,0.0,126.0,4.27,0.01,0.0,350g
토란국,100g,16,1.0,0.12,2.61,0.27,190.0,1.12,0.04,0.0,400g
김치전골,100g,73,3.12,4.23,5.68,0.79,299.0,7.43,0.67,0.01,270g
동태국,100g,17,2.42,0.16,1.4,0.0,224.0,11.46,0.02,0.0,400g
묵국,100g,22,1.0,0.4,3.57,0.28,238.0,0.0,0.03,0.0,400g
배추국,100g,16,1.84,0.41,1.14,0.0,248.0,5.58,0.09,0.01,400g
사골국,100g,55,5.56,2.42,2.81,0.0,75.0,19.12,0.94,0.08,400g
육개장,100g,30,3.68,0.99,1.49,0.76,201.0,10.86,0.17,0.0,440g
장어탕,100g,67,4.32,3.91,3.68,2.66,387.0,33.75,0.63,0.02,800g
냉국,100g,6,0.37,0.15,0.85,0.69,327.0,0.0,0.01,0.0,350g
달걀탕,100g,29,1.78,2.04,0.94,0.0,101.0,34.05,0.37,0.0,350g
도가니탕,100g,40,8.35,0.33,0.82,0.0,150.0,18.34,0.13,0.01,500g
오리죽,100g,155,7.5,4.99,19.95,0.0,62.0,36.07,1.16,0.02,400g
전복죽,100g,79,1.82,3.73,9.62,0.0,158.0,8.62,0.19,0.0,400g
팥죽,100g,81,3.17,0.19,16.66,0.02,127.0,0.0,0.07,0.0,400g
흑임자죽,100g,61,1.1,4.73,3.64,0.75,159.0,0.0,0.28,0.09,400g
굴국,100g,25,2.41,0.36,2.93,0.14,251.0,8.78,0.09,0.0,500g
내장탕,100g,71,5.82,4.52,1.68,0.05,216.0,63.89,1.78,0.01,600g
메밀국수,100g,63,3.14,0.29,12.06,0.0,194.0,0.0,0.12,0.0,350g
우동볶음,100g,128,2.8,2.01,24.79,0.43,257.0,0.0,0.49,0.03,300g
모카빵,100g,339,8.55,8.05,57.96,12.53,354.0,52.07,3.76,0.31,150g
초코소라빵,100g,319,3.29,10.93,51.76,9.29,215.0,19.61,4.34,0.03,70g
하이라이스,100g,112,4.02,1.13,21.34,0.0,246.0,2.83,0.13,0.0,360g
꿀떡,100g,228,3.74,1.73,49.48,0.29,275.0,0.0,0.3,0.0,100g
증편,100g,200,3.17,1.2,44.15,3.19,284.0,0.0,0.15,0.0,100g
잡곡밥,100g,146,5.3,0.87,29.33,0.32,3.0,0.0,0.22,0.0,200g
잡채밥,100g,150,4.02,3.42,25.79,0.05,227.0,5.91,0.41,0.05,550g
짬뽕밥,100g,72,3.2,1.4,11.65,1.34,234.0,15.78,0.23,0.01,900g
찰밥,100g,153,4.39,0.18,33.56,0.49,3.0,0.0,0.08,0.0,280g
햄채소볶음,100ml,68,6.3,3.03,3.82,1.99,335.0,14.8,0.71,,210ml
무생채(무만),100ml,30,1.03,0.56,5.77,2.57,249.0,0.0,0.09,,120ml
참나물겉절이,100ml,18,0.74,0.6,2.91,1.1,143.0,0.02,0.1,,190ml
치커리겉절이,100ml,22,0.72,0.73,3.51,1.89,160.0,0.0,0.12,,180ml
짜장소스,100ml,100,4.38,3.64,12.86,4.16,541.0,6.95,0.68,,200ml
